2000-01-29,2396,"Eagle, CO",EWR,"Newark, NJ",945,942,1541,7,1537,1548,0,1725
2000-01-25,2306,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",820,823,1123,7,1128,1130,0,720
2000-01-05,494,"Eagle, CO",ORD,"Chicago, IL",1155,1154,1509,13,1528,1522,0,1007
2000-01-22,1640,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1315,1313,1556,8,1617,1604,0,720
2000-01-14,2396,"Eagle, CO",EWR,"Newark, NJ",945,936,1524,8,1537,1532,0,1725
2000-01-25,1640,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1315,1315,1609,7,1617,1616,0,720
2000-01-04,2396,"Eagle, CO",EWR,"Newark, NJ",945,959,1710,6,1537,1716,0,1725
2000-01-18,2396,"Eagle, CO",EWR,"Newark, NJ",945,1026,1650,10,1537,1700,0,1725
2000-01-30,2306,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",820,823,1123,12,1128,1135,0,720
2000-01-09,494,"Eagle, CO",ORD,"Chicago, IL",1155,1153,1511,21,1528,1532,0,1007
2000-01-29,2398,"Eagle, CO",MIA,"Miami, FL",1140,1135,1711,26,1750,1737,0,1811
2000-01-06,1640,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1315,1308,1552,12,1617,1604,0,720
2000-01-31,2082,"Eagle, CO",ORD,"Chicago, IL",845,838,1208,13,1220,1221,0,1007
2000-01-30,2396,"Eagle, CO",EWR,"Newark, NJ",945,951,1538,7,1537,1545,0,1725
2000-01-09,2396,"Eagle, CO",EWR,"Newark, NJ",945,952,1603,8,1537,1611,0,1725
2000-01-15,2210,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1630,1626,1911,16,1932,1927,0,720
2000-01-12,1640,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1315,1333,1615,19,1617,1634,0,720
2000-01-15,2306,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",820,819,1117,12,1128,1129,0,720
2000-01-16,2306,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",820,816,1059,8,1128,1107,0,720
2000-01-28,2211,"Eagle, CO",SFO,"San Francisco, CA",1830,1825,1946,7,2003,1953,0,847
2000-01-09,2082,"Eagle, CO",ORD,"Chicago, IL",844,847,1225,7,1225,1232,0,1007
2000-01-02,2082,"Eagle, CO",ORD,"Chicago, IL",844,851,1245,5,1225,1250,0,1007
2000-01-26,2211,"Eagle, CO",SFO,"San Francisco, CA",1830,1824,1930,6,2003,1936,0,847
2000-01-15,2396,"Eagle, CO",EWR,"Newark, NJ",945,939,1508,9,1537,1517,0,1725
2000-01-01,1640,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1315,1309,1554,13,1617,1607,0,720
2000-01-31,2376,"Eagle, CO",ORD,"Chicago, IL",1155,1237,1559,11,1528,1610,0,1007
2000-01-28,1640,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1315,1318,1615,7,1617,1622,0,720
2000-01-10,1640,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1315,1323,1603,12,1617,1615,0,720
2000-01-17,2211,"Eagle, CO",SFO,"San Francisco, CA",1830,1918,,,2003,,0,847
2000-01-27,494,"Eagle, CO",ORD,"Chicago, IL",1155,1155,1518,6,1528,1524,0,1007
2000-01-09,2210,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1630,1625,1910,11,1932,1921,0,720
2000-01-08,2211,"Eagle, CO",SFO,"San Francisco, CA",1830,1818,1937,3,2003,1940,0,847
2000-01-15,494,"Eagle, CO",ORD,"Chicago, IL",1155,1149,1453,14,1528,1507,0,1007
2000-01-03,2396,"Eagle, CO",EWR,"Newark, NJ",945,1024,1601,6,1537,1607,0,1725
2000-01-07,494,"Eagle, CO",ORD,"Chicago, IL",1155,1152,1517,11,1528,1528,0,1007
2000-01-19,2211,"Eagle, CO",SFO,"San Francisco, CA",1830,1824,2009,14,2003,2023,0,847
2000-01-23,2211,"Eagle, CO",SFO,"San Francisco, CA",1830,1825,,,2003,,0,847
2000-01-09,1640,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1315,1353,1628,11,1617,1639,0,720
2000-01-03,494,"Eagle, CO",ORD,"Chicago, IL",1155,1159,1544,7,1528,1551,0,1007
2000-01-08,2306,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",820,826,1126,8,1128,1134,0,720
2000-01-11,2396,"Eagle, CO",EWR,"Newark, NJ",945,942,1554,9,1537,1603,0,1725
2000-01-10,2306,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",820,821,1100,11,1128,1111,0,720
2000-01-20,2306,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",820,814,1059,12,1128,1111,0,720
2000-01-08,2392,"Eagle, CO",LGA,"New York, NY",1602,1556,2122,3,2200,2125,0,1739
2000-01-07,1640,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1315,1307,1557,14,1617,1611,0,720
2000-01-21,2396,"Eagle, CO",EWR,"Newark, NJ",945,1132,1700,10,1537,1710,0,1725
2000-01-10,2396,"Eagle, CO",EWR,"Newark, NJ",945,952,1546,7,1537,1553,0,1725
2000-01-27,2396,"Eagle, CO",EWR,"Newark, NJ",945,952,1539,7,1537,1546,0,1725
2000-01-18,1640,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1315,1310,1552,10,1617,1602,0,720
2000-01-20,1640,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1315,1310,1550,9,1617,1559,0,720
2000-01-30,2211,"Eagle, CO",SFO,"San Francisco, CA",1830,1830,1957,11,2003,2008,0,847
2000-01-17,2396,"Eagle, CO",EWR,"Newark, NJ",945,943,1602,12,1537,1614,0,1725
2000-01-03,2306,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",820,1017,1318,7,1128,1325,0,720
2000-01-29,2210,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1630,1625,1903,15,1932,1918,0,720
2000-01-24,2211,"Eagle, CO",SFO,"San Francisco, CA",1830,1952,2215,5,2003,2220,0,847
2000-01-09,2211,"Eagle, CO",SFO,"San Francisco, CA",1830,1829,2015,4,2003,2019,0,847
2000-01-28,2306,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",820,819,1058,7,1128,1105,0,720
2000-01-18,494,"Eagle, CO",ORD,"Chicago, IL",1155,1219,1524,7,1528,1531,0,1007
2000-01-30,2210,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",1630,1627,1908,12,1932,1920,0,720
