2000-01-23,2734,"Santa Ana, CA",RNO,"Reno, NV",1827,1904,2026,8,1942,2034,0,415
2000-01-31,2876,"Santa Ana, CA",SJC,"San Jose, CA",1925,1923,2043,4,2038,2047,0,342
2000-01-29,2792,"Santa Ana, CA",SJC,"San Jose, CA",955,952,1102,7,1109,1109,0,342
2000-01-22,1092,"Santa Ana, CA",ORD,"Chicago, IL",1340,1338,1921,8,1931,1929,0,1726
2000-01-23,2802,"Santa Ana, CA",SJC,"San Jose, CA",1635,1645,1756,8,1749,1804,0,342
2000-01-13,2296,"Santa Ana, CA",SJC,"San Jose, CA",1925,1922,2029,4,2041,2033,0,342
2000-01-20,1780,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1619,1619,2046,7,2109,2053,0,1205
2000-01-21,2804,"Santa Ana, CA",SEA,"Seattle, WA",735,731,1000,3,1022,1003,0,978
2000-01-24,340,"Santa Ana, CA",ORD,"Chicago, IL",1340,1348,1917,9,1931,1926,0,1726
2000-01-09,2734,"Santa Ana, CA",RNO,"Reno, NV",1827,1826,1944,6,1942,1950,0,415
2000-01-14,1524,"Santa Ana, CA",ORD,"Chicago, IL",750,748,1330,14,1333,1344,0,1726
2000-01-27,2734,"Santa Ana, CA",RNO,"Reno, NV",1827,1831,1956,5,1942,2001,0,415
2000-01-02,2710,"Santa Ana, CA",SJC,"San Jose, CA",1810,1818,1936,3,1925,1939,0,342
2000-01-26,1456,"Santa Ana, CA",ORD,"Chicago, IL",645,642,1238,5,1241,1243,0,1726
2000-01-17,762,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1300,1300,1746,12,1749,1758,0,1205
2000-01-18,2718,"Santa Ana, CA",SEA,"Seattle, WA",1706,1825,2049,3,1950,2052,0,978
2000-01-25,2804,"Santa Ana, CA",SEA,"Seattle, WA",735,735,1003,3,1022,1006,0,978
2000-01-19,590,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",823,821,1249,33,1312,1322,0,1205
2000-01-14,1566,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",655,653,1159,7,1200,1206,0,1205
2000-01-20,590,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",823,823,1256,20,1312,1316,0,1205
2000-01-06,2822,"Santa Ana, CA",SJC,"San Jose, CA",830,827,936,3,943,939,0,342
2000-01-04,1256,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1130,1133,1620,11,1623,1631,0,1205
2000-01-25,1456,"Santa Ana, CA",ORD,"Chicago, IL",645,642,1229,5,1241,1234,0,1726
2000-01-21,2780,"Santa Ana, CA",LAS,"Las Vegas, NV",1150,1147,1242,4,1252,1246,0,226
2000-01-29,2768,"Santa Ana, CA",SFO,"San Francisco, CA",951,1028,1137,5,1121,1142,0,372
2000-01-12,2290,"Santa Ana, CA",SJC,"San Jose, CA",645,643,802,3,807,805,0,342
2000-01-02,1256,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1130,1129,1601,12,1623,1613,0,1205
2000-01-01,1368,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1452,1449,1927,14,1947,1941,0,1205
2000-01-20,2789,"Santa Ana, CA",LAS,"Las Vegas, NV",2010,2020,2110,9,2110,2119,0,226
2000-01-30,654,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",829,824,1257,17,1322,1314,0,1205
2000-01-19,2770,"Santa Ana, CA",SFO,"San Francisco, CA",1517,1545,1726,4,1641,1730,0,372
2000-01-20,2718,"Santa Ana, CA",SEA,"Seattle, WA",1706,1702,1927,5,1950,1932,0,978
2000-01-07,2732,"Santa Ana, CA",SJC,"San Jose, CA",2130,2127,2240,6,2242,2246,0,342
2000-01-06,2792,"Santa Ana, CA",SJC,"San Jose, CA",955,1022,1129,3,1109,1132,0,342
2000-01-06,340,"Santa Ana, CA",ORD,"Chicago, IL",1340,1341,1907,13,1931,1920,0,1726
2000-01-01,590,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",823,840,1311,15,1312,1326,0,1205
2000-01-05,2768,"Santa Ana, CA",SFO,"San Francisco, CA",951,1000,1122,10,1121,1132,0,372
2000-01-12,2842,"Santa Ana, CA",RNO,"Reno, NV",1400,1353,1517,5,1519,1522,0,415
2000-01-11,1524,"Santa Ana, CA",ORD,"Chicago, IL",750,750,1330,6,1333,1336,0,1726
2000-01-17,68,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",645,642,1134,14,1143,1148,0,1205
2000-01-31,2716,"Santa Ana, CA",SFO,"San Francisco, CA",745,743,900,4,911,904,0,372
2000-01-12,2294,"Santa Ana, CA",SJC,"San Jose, CA",1500,1458,1613,2,1614,1615,0,342
2000-01-15,2768,"Santa Ana, CA",SFO,"San Francisco, CA",951,947,1057,3,1121,1100,0,372
2000-01-14,2290,"Santa Ana, CA",SJC,"San Jose, CA",645,642,808,4,807,812,0,342
2000-01-03,2810,"Santa Ana, CA",LAS,"Las Vegas, NV",1320,1318,1413,8,1421,1421,0,226
2000-01-19,2734,"Santa Ana, CA",RNO,"Reno, NV",1827,1826,1940,5,1942,1945,0,415
2000-01-25,2718,"Santa Ana, CA",SEA,"Seattle, WA",1706,1747,2027,4,1950,2031,0,978
2000-01-10,2768,"Santa Ana, CA",SFO,"San Francisco, CA",951,950,1132,3,1121,1135,0,372
2000-01-04,590,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",823,835,1313,12,1312,1325,0,1205
2000-01-09,2780,"Santa Ana, CA",LAS,"Las Vegas, NV",1150,1149,1240,15,1252,1255,0,226
2000-01-18,1526,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1000,1023,1459,7,1458,1506,0,1205
2000-01-15,1524,"Santa Ana, CA",ORD,"Chicago, IL",750,746,1335,13,1333,1348,0,1726
2000-01-30,2294,"Santa Ana, CA",SJC,"San Jose, CA",1500,1458,1611,2,1614,1613,0,342
2000-01-29,2290,"Santa Ana, CA",SJC,"San Jose, CA",645,641,801,3,807,804,0,342
2000-01-21,2292,"Santa Ana, CA",RNO,"Reno, NV",1051,1050,1216,4,1204,1220,0,415
2000-01-17,2792,"Santa Ana, CA",SJC,"San Jose, CA",955,951,1104,5,1109,1109,0,342
2000-01-10,2772,"Santa Ana, CA",SFO,"San Francisco, CA",1920,,,,2049,,1,372
2000-01-31,2780,"Santa Ana, CA",LAS,"Las Vegas, NV",1200,1157,1300,6,1302,1306,0,226
2000-01-26,2822,"Santa Ana, CA",SJC,"San Jose, CA",830,825,936,4,943,940,0,342
2000-01-04,1780,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1622,1621,2055,7,2112,2102,0,1205
2000-01-07,590,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",823,819,1258,12,1312,1310,0,1205
2000-01-04,2822,"Santa Ana, CA",SJC,"San Jose, CA",830,830,944,2,943,946,0,342
2000-01-06,1526,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1000,957,1439,9,1458,1448,0,1205
2000-01-15,2292,"Santa Ana, CA",RNO,"Reno, NV",1051,1049,1206,7,1204,1213,0,415
2000-01-04,854,"Santa Ana, CA",ORD,"Chicago, IL",954,956,1553,3,1545,1556,0,1726
2000-01-04,654,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",829,829,1316,11,1322,1327,0,1205
2000-01-25,2842,"Santa Ana, CA",RNO,"Reno, NV",1400,1355,1509,5,1519,1514,0,415
2000-01-31,2734,"Santa Ana, CA",RNO,"Reno, NV",1815,1811,1932,7,1936,1939,0,415
2000-01-01,1256,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1130,1129,1606,13,1623,1619,0,1205
2000-01-11,68,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",645,642,1138,7,1143,1145,0,1205
2000-01-17,2789,"Santa Ana, CA",LAS,"Las Vegas, NV",2010,2040,2125,6,2110,2131,0,226
2000-01-20,2728,"Santa Ana, CA",LAS,"Las Vegas, NV",1320,1315,1412,6,1421,1418,0,226
2000-01-14,590,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",823,820,1312,14,1312,1326,0,1205
2000-01-28,2802,"Santa Ana, CA",SJC,"San Jose, CA",1635,1635,1747,3,1749,1750,0,342
2000-01-15,1456,"Santa Ana, CA",ORD,"Chicago, IL",645,640,1223,5,1241,1228,0,1726
2000-01-22,1524,"Santa Ana, CA",ORD,"Chicago, IL",750,744,1305,15,1333,1320,0,1726
2000-01-11,2294,"Santa Ana, CA",SJC,"San Jose, CA",1500,1511,1626,6,1614,1632,0,342
2000-01-05,2296,"Santa Ana, CA",SJC,"San Jose, CA",1925,1921,2039,2,2041,2041,0,342
2000-01-24,2296,"Santa Ana, CA",SJC,"San Jose, CA",1925,1925,2041,8,2041,2049,0,342
2000-01-18,2296,"Santa Ana, CA",SJC,"San Jose, CA",1925,1923,2026,3,2041,2029,0,342
2000-01-02,506,"Santa Ana, CA",ORD,"Chicago, IL",1525,1530,2205,5,2115,2210,0,1726
2000-01-07,2792,"Santa Ana, CA",SJC,"San Jose, CA",955,1034,1144,5,1109,1149,0,342
2000-01-16,1526,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1000,959,1434,10,1458,1444,0,1205
2000-01-08,762,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1300,1301,1741,11,1749,1752,0,1205
2000-01-30,1256,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1130,1139,1609,12,1623,1621,0,1205
2000-01-11,1566,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",655,651,1149,17,1200,1206,0,1205
2000-01-23,2728,"Santa Ana, CA",LAS,"Las Vegas, NV",1320,1319,1405,17,1421,1422,0,226
2000-01-03,1642,"Santa Ana, CA",SJC,"San Jose, CA",1925,1929,2032,3,2041,2035,0,342
2000-01-24,2774,"Santa Ana, CA",SFO,"San Francisco, CA",2015,2012,2133,12,2145,2145,0,372
2000-01-16,2792,"Santa Ana, CA",SJC,"San Jose, CA",955,955,1103,9,1109,1112,0,342
2000-01-03,1456,"Santa Ana, CA",ORD,"Chicago, IL",645,646,1249,9,1241,1258,0,1726
2000-01-05,2780,"Santa Ana, CA",LAS,"Las Vegas, NV",1150,1150,1243,9,1252,1252,0,226
2000-01-19,2789,"Santa Ana, CA",LAS,"Las Vegas, NV",2010,2007,2104,5,2110,2109,0,226
