2000-01-23,2477,"Boston, MA",MCO,"Orlando, FL",1525,1516,1844,6,1840,1850,0,1121
2000-01-15,905,"Boston, MA",DFW,"Dallas/Fort Worth, TX",1120,1120,1400,5,1420,1405,0,1562
2000-01-11,1829,"Boston, MA",LGA,"New York, NY",1030,1030,1209,2,1134,1211,0,185
2000-01-31,2275,"Boston, MA",DCA,"Washington, DC",1430,1430,1553,6,1559,1559,0,399
2000-01-28,1847,"Boston, MA",LGA,"New York, NY",1930,1950,2058,5,2042,2103,0,185
2000-01-06,1835,"Boston, MA",LGA,"New York, NY",1330,1330,1425,2,1429,1427,0,185
2000-01-27,2517,"Boston, MA",TPA,"Tampa, FL",1800,1759,2125,4,2135,2129,0,1185
2000-01-09,1903,"Boston, MA",CVG,"Cincinnati, OH",1300,1300,1524,7,1527,1531,0,752
2000-01-30,1521,"Boston, MA",CVG,"Cincinnati, OH",550,551,800,9,816,809,0,752
2000-01-13,905,"Boston, MA",DFW,"Dallas/Fort Worth, TX",1120,1220,1640,6,1420,1646,0,1562
2000-01-15,1997,"Boston, MA",ATL,"Atlanta, GA",1715,1714,1938,12,2013,1950,0,946
2000-01-31,2503,"Boston, MA",MCO,"Orlando, FL",800,755,1141,5,1120,1146,0,1121
2000-01-09,567,"Boston, MA",CVG,"Cincinnati, OH",1855,1852,2117,5,2126,2122,0,752
2000-01-25,1861,"Boston, MA",CVG,"Cincinnati, OH",900,902,1155,5,1125,1200,0,752
2000-01-30,2457,"Boston, MA",MCO,"Orlando, FL",1030,,,,1345,,1,1121
2000-01-01,2275,"Boston, MA",DCA,"Washington, DC",1430,1430,1555,5,1559,1600,0,399
2000-01-29,2433,"Boston, MA",RSW,"Fort Myers, FL",825,818,1131,11,1205,1142,0,1249
2000-01-02,1493,"Boston, MA",CVG,"Cincinnati, OH",1725,1727,2003,8,1955,2011,0,752
2000-01-01,2379,"Boston, MA",FLL,"Fort Lauderdale, FL",1915,1923,2222,2,2250,2224,0,1237
2000-01-27,1823,"Boston, MA",LGA,"New York, NY",730,730,833,7,840,840,0,185
2000-01-10,2461,"Boston, MA",MCO,"Orlando, FL",900,855,1205,5,1220,1210,0,1121
2000-01-24,1825,"Boston, MA",LGA,"New York, NY",830,830,939,5,938,944,0,185
2000-01-15,2441,"Boston, MA",RSW,"Fort Myers, FL",1510,1528,1840,4,1850,1844,0,1249
2000-01-25,2467,"Boston, MA",MCO,"Orlando, FL",1340,,,,1700,,1,1121
2000-01-03,1861,"Boston, MA",CVG,"Cincinnati, OH",900,854,1129,5,1125,1134,0,752
2000-01-22,2441,"Boston, MA",RSW,"Fort Myers, FL",1510,1526,1908,2,1850,1910,0,1249
2000-01-13,1099,"Boston, MA",SLC,"Salt Lake City, UT",1750,1927,2242,7,2120,2249,0,2105
2000-01-17,2279,"Boston, MA",DCA,"Washington, DC",830,832,1015,2,959,1017,0,399
2000-01-18,2515,"Boston, MA",TPA,"Tampa, FL",1420,1429,1734,6,1750,1740,0,1185
2000-01-18,1821,"Boston, MA",LGA,"New York, NY",630,630,732,6,737,738,0,185
2000-01-01,1035,"Boston, MA",SLC,"Salt Lake City, UT",1020,1020,1403,5,1342,1408,0,2105
2000-01-18,827,"Boston, MA",ATL,"Atlanta, GA",1815,1816,2050,6,2110,2056,0,946
2000-01-15,1521,"Boston, MA",CVG,"Cincinnati, OH",550,558,808,6,816,814,0,752
2000-01-19,1067,"Boston, MA",ATL,"Atlanta, GA",1915,1934,2241,7,2213,2248,0,946
2000-01-30,905,"Boston, MA",DFW,"Dallas/Fort Worth, TX",1120,1120,1410,10,1420,1420,0,1562
2000-01-07,1849,"Boston, MA",LGA,"New York, NY",2030,2030,2129,6,2129,2135,0,185
2000-01-25,2267,"Boston, MA",DCA,"Washington, DC",2030,,,,2159,,1,399
2000-01-03,1841,"Boston, MA",LGA,"New York, NY",1630,1630,1730,4,1738,1734,0,185
2000-01-22,2477,"Boston, MA",MCO,"Orlando, FL",1525,1519,1828,5,1840,1833,0,1121
2000-01-06,1163,"Boston, MA",ATL,"Atlanta, GA",815,811,1137,8,1110,1145,0,946
2000-01-04,2455,"Boston, MA",MCO,"Orlando, FL",2040,,,,2355,,1,1121
2000-01-12,2511,"Boston, MA",TPA,"Tampa, FL",1025,1019,1337,5,1355,1342,0,1185
2000-01-17,1903,"Boston, MA",CVG,"Cincinnati, OH",1300,1259,1511,7,1527,1518,0,752
2000-01-18,1845,"Boston, MA",LGA,"New York, NY",1830,1830,1945,3,1940,1948,0,185
2000-01-26,565,"Boston, MA",SLC,"Salt Lake City, UT",705,,,,1030,,1,2105
2000-01-08,1163,"Boston, MA",ATL,"Atlanta, GA",815,808,1101,8,1110,1109,0,946
2000-01-11,2415,"Boston, MA",MCO,"Orlando, FL",1625,1619,1921,6,1940,1927,0,1121
2000-01-30,1841,"Boston, MA",LGA,"New York, NY",1630,1630,1734,4,1738,1738,0,185
2000-01-29,1521,"Boston, MA",CVG,"Cincinnati, OH",550,546,758,6,816,804,0,752
2000-01-18,567,"Boston, MA",CVG,"Cincinnati, OH",1855,1850,2059,5,2126,2104,0,752
2000-01-20,1099,"Boston, MA",SLC,"Salt Lake City, UT",1750,,,,2120,,1,2105
2000-01-15,915,"Boston, MA",ATL,"Atlanta, GA",715,726,949,7,1010,956,0,946
2000-01-23,247,"Boston, MA",PBI,"West Palm Beach/Palm Beach, FL",2010,2002,2333,5,2324,2338,0,1197
2000-01-08,2477,"Boston, MA",MCO,"Orlando, FL",1525,1518,1816,6,1840,1822,0,1121
2000-01-02,2457,"Boston, MA",MCO,"Orlando, FL",1030,1028,1318,5,1345,1323,0,1121
2000-01-18,2457,"Boston, MA",MCO,"Orlando, FL",1030,1031,1332,5,1345,1337,0,1121
2000-01-30,2455,"Boston, MA",MCO,"Orlando, FL",2040,2031,2352,8,2355,2400,0,1121
2000-01-04,1835,"Boston, MA",LGA,"New York, NY",1330,1330,1441,2,1429,1443,0,185
2000-01-07,1841,"Boston, MA",LGA,"New York, NY",1630,1630,1739,4,1738,1743,0,185
2000-01-01,827,"Boston, MA",ATL,"Atlanta, GA",1815,1827,2051,8,2110,2059,0,946
2000-01-24,2515,"Boston, MA",TPA,"Tampa, FL",1420,1416,1741,5,1750,1746,0,1185
2000-01-17,2267,"Boston, MA",DCA,"Washington, DC",2030,2030,2150,6,2159,2156,0,399
2000-01-09,1843,"Boston, MA",LGA,"New York, NY",1730,1730,1833,2,1844,1835,0,185
2000-01-17,80,"Boston, MA",JFK,"New York, NY",1710,,,,1820,,1,187
