2000-01-12,1904,"Santa Ana, CA",SLC,"Salt Lake City, UT",1230,1224,1456,6,1518,1502,0,588
2000-01-20,1904,"Santa Ana, CA",SLC,"Salt Lake City, UT",1230,1232,1510,4,1518,1514,0,588
2000-01-22,614,"Santa Ana, CA",ATL,"Atlanta, GA",1525,1524,2214,61,2223,2315,0,1919
2000-01-24,1080,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",655,751,1223,7,1208,1230,0,1205
2000-01-09,850,"Santa Ana, CA",ATL,"Atlanta, GA",1125,1136,1822,10,1833,1832,0,1919
2000-01-24,1402,"Santa Ana, CA",ATL,"Atlanta, GA",850,,,,1559,,1,1919
2000-01-04,2066,"Santa Ana, CA",SLC,"Salt Lake City, UT",1805,1759,2036,6,2053,2042,0,588
2000-01-17,1402,"Santa Ana, CA",ATL,"Atlanta, GA",850,854,1538,15,1559,1553,0,1919
2000-01-09,2018,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",745,743,1232,9,1245,1241,0,1205
2000-01-30,2066,"Santa Ana, CA",SLC,"Salt Lake City, UT",1805,1805,2041,4,2053,2045,0,588
2000-01-08,1080,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",655,715,1209,6,1208,1215,0,1205
2000-01-26,1080,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",655,652,1150,8,1208,1158,0,1205
2000-01-15,1080,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",655,651,1207,6,1208,1213,0,1205
2000-01-08,2066,"Santa Ana, CA",SLC,"Salt Lake City, UT",1805,1758,2036,6,2053,2042,0,588
2000-01-24,850,"Santa Ana, CA",ATL,"Atlanta, GA",1125,1133,1824,15,1833,1839,0,1919
2000-01-18,1080,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",655,653,1156,6,1208,1202,0,1205
2000-01-06,1957,"Santa Ana, CA",SLC,"Salt Lake City, UT",1010,1006,1258,5,1255,1303,0,588
2000-01-12,614,"Santa Ana, CA",ATL,"Atlanta, GA",1525,1521,2213,8,2223,2221,0,1919
2000-01-31,850,"Santa Ana, CA",ATL,"Atlanta, GA",1125,1143,1839,11,1833,1850,0,1919
2000-01-29,218,"Santa Ana, CA",SLC,"Salt Lake City, UT",1635,1627,1902,5,1924,1907,0,588
2000-01-08,1957,"Santa Ana, CA",SLC,"Salt Lake City, UT",1010,1005,1250,5,1255,1255,0,588
2000-01-30,2014,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1340,1339,1819,5,1830,1824,0,1205
2000-01-19,850,"Santa Ana, CA",ATL,"Atlanta, GA",1125,1130,1820,12,1833,1832,0,1919
2000-01-26,1957,"Santa Ana, CA",SLC,"Salt Lake City, UT",1010,1004,1248,3,1255,1251,0,588
2000-01-24,614,"Santa Ana, CA",ATL,"Atlanta, GA",1525,1639,2308,7,2223,2315,0,1919
2000-01-13,1080,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",655,655,1203,10,1208,1213,0,1205
2000-01-02,1904,"Santa Ana, CA",SLC,"Salt Lake City, UT",1230,1230,1517,6,1518,1523,0,588
2000-01-11,1402,"Santa Ana, CA",ATL,"Atlanta, GA",850,850,1541,6,1559,1547,0,1919
2000-01-18,1957,"Santa Ana, CA",SLC,"Salt Lake City, UT",1010,,,,1255,,1,588
2000-01-16,2014,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1340,1350,1838,4,1830,1842,0,1205
2000-01-03,2066,"Santa Ana, CA",SLC,"Salt Lake City, UT",1805,1845,2137,5,2053,2142,0,588
2000-01-18,850,"Santa Ana, CA",ATL,"Atlanta, GA",1125,1150,1849,6,1833,1855,0,1919
2000-01-22,1402,"Santa Ana, CA",ATL,"Atlanta, GA",850,853,1520,9,1559,1529,0,1919
2000-01-14,2014,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1340,1340,1824,7,1830,1831,0,1205
2000-01-03,2014,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1340,1337,1810,12,1830,1822,0,1205
2000-01-08,2014,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1340,1343,1823,6,1830,1829,0,1205
2000-01-29,1904,"Santa Ana, CA",SLC,"Salt Lake City, UT",1230,1229,1502,4,1518,1506,0,588
2000-01-25,2066,"Santa Ana, CA",SLC,"Salt Lake City, UT",1805,1759,2023,10,2053,2033,0,588
2000-01-25,1402,"Santa Ana, CA",ATL,"Atlanta, GA",850,852,1528,5,1559,1533,0,1919
2000-01-10,850,"Santa Ana, CA",ATL,"Atlanta, GA",1125,1133,1807,9,1833,1816,0,1919
2000-01-10,2066,"Santa Ana, CA",SLC,"Salt Lake City, UT",1805,1754,2037,6,2053,2043,0,588
2000-01-26,1904,"Santa Ana, CA",SLC,"Salt Lake City, UT",1230,1224,1506,5,1518,1511,0,588
2000-01-10,1080,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",655,652,1156,14,1208,1210,0,1205
2000-01-04,850,"Santa Ana, CA",ATL,"Atlanta, GA",1125,1202,1900,9,1833,1909,0,1919
2000-01-03,850,"Santa Ana, CA",ATL,"Atlanta, GA",1125,1136,1845,9,1833,1854,0,1919
