2000-01-10,2436,"Albuquerque, NM",PHX,"Phoenix, AZ",1208,1206,1319,6,1336,1325,0,328
2000-01-29,2434,"Albuquerque, NM",PHX,"Phoenix, AZ",928,926,1038,13,1052,1051,0,328
2000-01-23,660,"Albuquerque, NM",PHX,"Phoenix, AZ",1458,1501,1616,26,1619,1642,0,328
2000-01-04,660,"Albuquerque, NM",PHX,"Phoenix, AZ",1458,1456,1608,17,1619,1625,0,328
2000-01-11,660,"Albuquerque, NM",PHX,"Phoenix, AZ",1458,1458,1617,5,1619,1622,0,328
2000-01-13,2831,"Albuquerque, NM",PHX,"Phoenix, AZ",630,628,743,11,745,754,0,328
2000-01-15,2635,"Albuquerque, NM",PHX,"Phoenix, AZ",1458,1536,1647,7,1619,1654,0,328
2000-01-25,211,"Albuquerque, NM",PHX,"Phoenix, AZ",2024,2023,2130,4,2140,2134,0,328
2000-01-21,211,"Albuquerque, NM",PHX,"Phoenix, AZ",2024,2107,2226,4,2140,2230,0,328
2000-01-11,2528,"Albuquerque, NM",PHX,"Phoenix, AZ",1740,1801,1920,3,1915,1923,0,328
2000-01-17,2831,"Albuquerque, NM",PHX,"Phoenix, AZ",630,626,739,13,745,752,0,328
2000-01-04,2436,"Albuquerque, NM",PHX,"Phoenix, AZ",1208,1204,1322,12,1336,1334,0,328
2000-01-03,211,"Albuquerque, NM",PHX,"Phoenix, AZ",2032,2028,2144,6,2147,2150,0,328
2000-01-20,2436,"Albuquerque, NM",PHX,"Phoenix, AZ",1208,1204,1322,8,1336,1330,0,328
2000-01-29,658,"Albuquerque, NM",PHX,"Phoenix, AZ",1208,1206,1317,19,1336,1336,0,328
2000-01-08,658,"Albuquerque, NM",PHX,"Phoenix, AZ",1208,,,,1336,,1,328
2000-01-23,201,"Albuquerque, NM",PHX,"Phoenix, AZ",928,926,1042,7,1052,1049,0,328
2000-01-27,2436,"Albuquerque, NM",PHX,"Phoenix, AZ",1208,1204,1320,5,1336,1325,0,328
2000-01-05,211,"Albuquerque, NM",PHX,"Phoenix, AZ",2024,2022,2131,7,2140,2138,0,328
2000-01-09,211,"Albuquerque, NM",PHX,"Phoenix, AZ",2024,2040,2147,7,2140,2154,0,328
2000-01-07,2436,"Albuquerque, NM",PHX,"Phoenix, AZ",1208,1205,1327,8,1336,1335,0,328
2000-01-07,2434,"Albuquerque, NM",PHX,"Phoenix, AZ",928,927,1050,4,1052,1054,0,328
2000-01-07,2831,"Albuquerque, NM",PHX,"Phoenix, AZ",630,628,752,5,745,757,0,328
2000-01-11,2831,"Albuquerque, NM",PHX,"Phoenix, AZ",630,626,745,7,745,752,0,328
2000-01-14,2831,"Albuquerque, NM",PHX,"Phoenix, AZ",630,630,745,8,745,753,0,328
2000-01-17,2436,"Albuquerque, NM",PHX,"Phoenix, AZ",1208,1205,1313,4,1336,1317,0,328
2000-01-25,2436,"Albuquerque, NM",PHX,"Phoenix, AZ",1208,1204,1320,17,1336,1337,0,328
2000-01-05,2528,"Albuquerque, NM",PHX,"Phoenix, AZ",1740,1737,1903,6,1915,1909,0,328
2000-01-18,211,"Albuquerque, NM",PHX,"Phoenix, AZ",2024,2038,2142,4,2140,2146,0,328
2000-01-19,2831,"Albuquerque, NM",PHX,"Phoenix, AZ",630,626,742,5,745,747,0,328
2000-01-08,2434,"Albuquerque, NM",PHX,"Phoenix, AZ",928,928,1054,5,1052,1059,0,328
2000-01-28,2831,"Albuquerque, NM",PHX,"Phoenix, AZ",630,1110,1237,5,745,1242,0,328
2000-01-27,211,"Albuquerque, NM",PHX,"Phoenix, AZ",2024,2021,2129,13,2140,2142,0,328
2000-01-12,2528,"Albuquerque, NM",PHX,"Phoenix, AZ",1740,1737,1855,5,1915,1900,0,328
2000-01-02,2528,"Albuquerque, NM",PHX,"Phoenix, AZ",1740,1803,1923,7,1914,1930,0,328
2000-01-10,2528,"Albuquerque, NM",PHX,"Phoenix, AZ",1740,1738,1855,4,1915,1859,0,328
2000-01-01,2621,"Albuquerque, NM",PHX,"Phoenix, AZ",928,928,1041,6,1058,1047,0,328
2000-01-22,658,"Albuquerque, NM",PHX,"Phoenix, AZ",1208,1206,1315,5,1336,1320,0,328
2000-01-17,211,"Albuquerque, NM",PHX,"Phoenix, AZ",2024,2037,2152,6,2140,2158,0,328
2000-01-06,2831,"Albuquerque, NM",PHX,"Phoenix, AZ",630,630,748,4,745,752,0,328
2000-01-29,2635,"Albuquerque, NM",PHX,"Phoenix, AZ",1458,1502,1624,6,1619,1630,0,328
