2000-01-07,2193,"Boston, MA",CMH,"Columbus, OH",630,626,838,3,834,841,0,640
2000-01-15,297,"Boston, MA",LAS,"Las Vegas, NV",735,,,,1033,,1,2381
2000-01-24,68,"Boston, MA",LAS,"Las Vegas, NV",2100,2056,2355,11,2353,6,0,2381
2000-01-19,2193,"Boston, MA",CMH,"Columbus, OH",630,627,816,4,834,820,0,640
2000-01-07,2442,"Boston, MA",PHX,"Phoenix, AZ",1747,1745,2121,5,2135,2126,0,2300
2000-01-10,2633,"Boston, MA",PHX,"Phoenix, AZ",700,,,,1049,,1,2300
2000-01-08,2633,"Boston, MA",PHX,"Phoenix, AZ",700,710,1047,4,1049,1051,0,2300
2000-01-11,2633,"Boston, MA",PHX,"Phoenix, AZ",700,704,1107,3,1049,1110,0,2300
2000-01-03,2793,"Boston, MA",CMH,"Columbus, OH",1845,1844,2116,3,2056,2119,0,640
2000-01-26,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,1227,1548,4,1610,1552,0,2300
2000-01-18,2442,"Boston, MA",PHX,"Phoenix, AZ",1747,1757,2138,7,2135,2145,0,2300
2000-01-12,2193,"Boston, MA",CMH,"Columbus, OH",630,628,831,7,834,838,0,640
2000-01-27,2633,"Boston, MA",PHX,"Phoenix, AZ",700,656,1013,8,1049,1021,0,2300
2000-01-16,2442,"Boston, MA",PHX,"Phoenix, AZ",1747,1758,2142,3,2135,2145,0,2300
2000-01-23,297,"Boston, MA",LAS,"Las Vegas, NV",735,914,1201,3,1033,1204,0,2381
2000-01-14,68,"Boston, MA",LAS,"Las Vegas, NV",2100,2130,31,2,2353,33,0,2381
2000-01-08,823,"Boston, MA",PHX,"Phoenix, AZ",1504,1500,1844,9,1851,1853,0,2300
2000-01-24,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,1225,1603,21,1610,1624,0,2300
2000-01-09,311,"Boston, MA",CMH,"Columbus, OH",915,911,1127,3,1116,1130,0,640
2000-01-05,68,"Boston, MA",LAS,"Las Vegas, NV",2100,2100,5,10,2353,15,0,2381
2000-01-15,2633,"Boston, MA",PHX,"Phoenix, AZ",700,800,1150,5,1049,1155,0,2300
2000-01-14,823,"Boston, MA",PHX,"Phoenix, AZ",1504,1540,1925,8,1851,1933,0,2300
2000-01-31,2442,"Boston, MA",PHX,"Phoenix, AZ",1747,1743,2100,7,2135,2107,0,2300
2000-01-30,2442,"Boston, MA",PHX,"Phoenix, AZ",1747,1800,2102,14,2135,2116,0,2300
2000-01-11,2442,"Boston, MA",PHX,"Phoenix, AZ",1747,1743,2127,6,2135,2133,0,2300
2000-01-06,311,"Boston, MA",CMH,"Columbus, OH",915,911,1110,6,1116,1116,0,640
2000-01-04,2633,"Boston, MA",PHX,"Phoenix, AZ",700,938,1307,5,1049,1312,0,2300
2000-01-12,311,"Boston, MA",CMH,"Columbus, OH",915,911,1118,3,1116,1121,0,640
2000-01-31,68,"Boston, MA",LAS,"Las Vegas, NV",2100,2058,2319,28,2353,2347,0,2381
2000-01-10,2442,"Boston, MA",PHX,"Phoenix, AZ",1747,1758,2139,5,2135,2144,0,2300
2000-01-16,823,"Boston, MA",PHX,"Phoenix, AZ",1504,1504,1857,5,1851,1902,0,2300
2000-01-11,311,"Boston, MA",CMH,"Columbus, OH",915,912,1117,4,1116,1121,0,640
2000-01-14,2633,"Boston, MA",PHX,"Phoenix, AZ",700,815,1219,4,1049,1223,0,2300
2000-01-02,2633,"Boston, MA",PHX,"Phoenix, AZ",700,700,1125,3,1057,1128,0,2300
2000-01-28,297,"Boston, MA",LAS,"Las Vegas, NV",735,733,951,8,1033,959,0,2381
2000-01-23,311,"Boston, MA",CMH,"Columbus, OH",915,927,1141,11,1116,1152,0,640
2000-01-02,2663,"Boston, MA",PHX,"Phoenix, AZ",1504,1514,1920,9,1900,1929,0,2300
2000-01-12,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,1219,1627,10,1610,1637,0,2300
2000-01-24,297,"Boston, MA",LAS,"Las Vegas, NV",735,738,1032,3,1033,1035,0,2381
2000-01-18,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,,,,1610,,1,2300
2000-01-05,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,1223,1608,3,1610,1611,0,2300
2000-01-01,2663,"Boston, MA",PHX,"Phoenix, AZ",1504,1500,1844,10,1900,1854,0,2300
2000-01-26,68,"Boston, MA",LAS,"Las Vegas, NV",2100,2127,2354,9,2353,3,0,2381
2000-01-29,311,"Boston, MA",CMH,"Columbus, OH",915,911,1118,4,1116,1122,0,640
2000-01-30,2633,"Boston, MA",PHX,"Phoenix, AZ",700,658,1012,6,1049,1018,0,2300
2000-01-19,311,"Boston, MA",CMH,"Columbus, OH",915,913,1108,3,1116,1111,0,640
2000-01-10,68,"Boston, MA",LAS,"Las Vegas, NV",2100,2133,14,4,2353,18,0,2381
2000-01-16,311,"Boston, MA",CMH,"Columbus, OH",915,917,1200,3,1116,1203,0,640
2000-01-25,297,"Boston, MA",LAS,"Las Vegas, NV",735,807,1151,5,1033,1156,0,2381
2000-01-11,823,"Boston, MA",PHX,"Phoenix, AZ",1504,1610,2003,11,1851,2014,0,2300
2000-01-13,823,"Boston, MA",PHX,"Phoenix, AZ",1504,1540,2000,7,1851,2007,0,2300
2000-01-31,2633,"Boston, MA",PHX,"Phoenix, AZ",700,700,1016,6,1049,1022,0,2300
2000-01-04,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,1219,1606,4,1610,1610,0,2300
2000-01-28,311,"Boston, MA",CMH,"Columbus, OH",915,916,1113,4,1116,1117,0,640
2000-01-15,68,"Boston, MA",LAS,"Las Vegas, NV",2100,2102,2350,16,2353,6,0,2381
2000-01-23,2633,"Boston, MA",PHX,"Phoenix, AZ",700,,,,1049,,1,2300
2000-01-03,297,"Boston, MA",LAS,"Las Vegas, NV",735,740,1041,5,1037,1046,0,2381
2000-01-29,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,1219,1529,6,1610,1535,0,2300
2000-01-06,2633,"Boston, MA",PHX,"Phoenix, AZ",700,658,1048,4,1049,1052,0,2300
2000-01-12,2633,"Boston, MA",PHX,"Phoenix, AZ",700,658,1102,5,1049,1107,0,2300
2000-01-21,2193,"Boston, MA",CMH,"Columbus, OH",630,632,846,5,834,851,0,640
2000-01-13,311,"Boston, MA",CMH,"Columbus, OH",915,,,,1116,,1,640
2000-01-14,297,"Boston, MA",LAS,"Las Vegas, NV",735,822,1156,4,1033,1200,0,2381
2000-01-05,2193,"Boston, MA",CMH,"Columbus, OH",630,628,830,3,834,833,0,640
2000-01-28,2633,"Boston, MA",PHX,"Phoenix, AZ",700,700,1020,4,1049,1024,0,2300
2000-01-12,68,"Boston, MA",LAS,"Las Vegas, NV",2100,2056,19,16,2353,35,0,2381
2000-01-30,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,1223,1542,5,1610,1547,0,2300
2000-01-25,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,,,,1610,,1,2300
2000-01-20,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,1223,1604,16,1610,1620,0,2300
2000-01-09,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,1223,1610,8,1610,1618,0,2300
2000-01-22,823,"Boston, MA",PHX,"Phoenix, AZ",1504,1500,1850,5,1851,1855,0,2300
2000-01-28,2442,"Boston, MA",PHX,"Phoenix, AZ",1747,1804,2127,9,2135,2136,0,2300
2000-01-21,311,"Boston, MA",CMH,"Columbus, OH",915,915,1154,3,1116,1157,0,640
2000-01-24,2193,"Boston, MA",CMH,"Columbus, OH",630,629,825,3,834,828,0,640
2000-01-27,823,"Boston, MA",PHX,"Phoenix, AZ",1504,1515,1830,5,1851,1835,0,2300
2000-01-29,297,"Boston, MA",LAS,"Las Vegas, NV",735,735,955,6,1033,1001,0,2381
2000-01-06,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,1223,1627,4,1610,1631,0,2300
2000-01-18,297,"Boston, MA",LAS,"Las Vegas, NV",735,759,1054,4,1033,1058,0,2381
2000-01-13,2193,"Boston, MA",CMH,"Columbus, OH",630,627,839,3,834,842,0,640
2000-01-04,297,"Boston, MA",LAS,"Las Vegas, NV",735,753,1040,3,1033,1043,0,2381
2000-01-25,2633,"Boston, MA",PHX,"Phoenix, AZ",700,,,,1049,,1,2300
2000-01-19,297,"Boston, MA",LAS,"Las Vegas, NV",735,731,1047,3,1033,1050,0,2381
2000-01-31,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,1218,1532,5,1610,1537,0,2300
2000-01-25,68,"Boston, MA",LAS,"Las Vegas, NV",2100,,,,2353,,1,2381
2000-01-15,823,"Boston, MA",PHX,"Phoenix, AZ",1504,1504,1819,3,1851,1822,0,2300
2000-01-24,823,"Boston, MA",PHX,"Phoenix, AZ",1504,1500,1843,11,1851,1854,0,2300
2000-01-18,2633,"Boston, MA",PHX,"Phoenix, AZ",700,700,1105,4,1049,1109,0,2300
2000-01-09,2633,"Boston, MA",PHX,"Phoenix, AZ",700,700,1030,21,1049,1051,0,2300
2000-01-30,311,"Boston, MA",CMH,"Columbus, OH",915,911,1118,3,1116,1121,0,640
2000-01-13,2633,"Boston, MA",PHX,"Phoenix, AZ",700,700,1107,3,1049,1110,0,2300
2000-01-02,68,"Boston, MA",LAS,"Las Vegas, NV",2053,30,336,3,2345,339,0,2381
2000-01-23,68,"Boston, MA",LAS,"Las Vegas, NV",2100,2101,2337,21,2353,2358,0,2381
2000-01-18,2193,"Boston, MA",CMH,"Columbus, OH",630,,,,834,,1,640
2000-01-10,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,1220,1544,6,1610,1550,0,2300
2000-01-21,2633,"Boston, MA",PHX,"Phoenix, AZ",700,,,,1049,,1,2300
2000-01-02,2793,"Boston, MA",CMH,"Columbus, OH",1845,1905,2122,5,2056,2127,0,640
2000-01-07,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,1220,1558,14,1610,1612,0,2300
2000-01-22,311,"Boston, MA",CMH,"Columbus, OH",915,919,1126,5,1116,1131,0,640
2000-01-09,2442,"Boston, MA",PHX,"Phoenix, AZ",1747,1801,2140,5,2135,2145,0,2300
2000-01-21,68,"Boston, MA",LAS,"Las Vegas, NV",2100,2100,5,6,2353,11,0,2381
2000-01-21,2792,"Boston, MA",PHX,"Phoenix, AZ",1223,1223,1611,6,1610,1617,0,2300
2000-01-13,297,"Boston, MA",LAS,"Las Vegas, NV",735,1340,1631,5,1033,1636,0,2381
2000-01-29,823,"Boston, MA",PHX,"Phoenix, AZ",1504,1503,1812,5,1851,1817,0,2300
2000-01-22,2633,"Boston, MA",PHX,"Phoenix, AZ",700,657,1100,5,1049,1105,0,2300
2000-01-12,2442,"Boston, MA",PHX,"Phoenix, AZ",1747,1825,2239,7,2135,2246,0,2300
2000-01-28,2193,"Boston, MA",CMH,"Columbus, OH",630,630,828,4,834,832,0,640
2000-01-19,823,"Boston, MA",PHX,"Phoenix, AZ",1504,1500,1850,5,1851,1855,0,2300
2000-01-24,2633,"Boston, MA",PHX,"Phoenix, AZ",700,656,1036,19,1049,1055,0,2300
2000-01-17,823,"Boston, MA",PHX,"Phoenix, AZ",1504,1610,1945,10,1851,1955,0,2300
2000-01-06,297,"Boston, MA",LAS,"Las Vegas, NV",735,742,1043,5,1033,1048,0,2381
2000-01-12,297,"Boston, MA",LAS,"Las Vegas, NV",735,735,1057,3,1033,1100,0,2381
2000-01-24,2442,"Boston, MA",PHX,"Phoenix, AZ",1747,1743,2124,5,2135,2129,0,2300
2000-01-20,2633,"Boston, MA",PHX,"Phoenix, AZ",700,700,1056,5,1049,1101,0,2300
2000-01-17,311,"Boston, MA",CMH,"Columbus, OH",915,911,1119,3,1116,1122,0,640
2000-01-20,297,"Boston, MA",LAS,"Las Vegas, NV",735,735,1047,6,1033,1053,0,2381
2000-01-31,297,"Boston, MA",LAS,"Las Vegas, NV",735,735,957,8,1033,1005,0,2381
2000-01-10,297,"Boston, MA",LAS,"Las Vegas, NV",735,733,1028,4,1033,1032,0,2381
2000-01-10,2193,"Boston, MA",CMH,"Columbus, OH",630,629,843,3,834,846,0,640
2000-01-11,2193,"Boston, MA",CMH,"Columbus, OH",630,657,906,4,834,910,0,640
2000-01-18,311,"Boston, MA",CMH,"Columbus, OH",915,912,1115,7,1116,1122,0,640
2000-01-15,2442,"Boston, MA",PHX,"Phoenix, AZ",1747,1747,2146,7,2135,2153,0,2300
2000-01-20,311,"Boston, MA",CMH,"Columbus, OH",915,914,1118,6,1116,1124,0,640
2000-01-06,823,"Boston, MA",PHX,"Phoenix, AZ",1504,1500,1830,21,1851,1851,0,2300
2000-01-27,297,"Boston, MA",LAS,"Las Vegas, NV",735,745,1007,4,1033,1011,0,2381
2000-01-04,823,"Boston, MA",PHX,"Phoenix, AZ",1504,1536,1918,6,1851,1924,0,2300
2000-01-31,823,"Boston, MA",PHX,"Phoenix, AZ",1504,,,,1851,,1,2300
2000-01-06,68,"Boston, MA",LAS,"Las Vegas, NV",2100,2057,2337,16,2353,2353,0,2381
