2000-01-16,2440,"Milwaukee, WI",PHX,"Phoenix, AZ",1600,1556,1847,7,1849,1854,0,1460
2000-01-24,2440,"Milwaukee, WI",PHX,"Phoenix, AZ",1600,1556,1849,11,1849,1900,0,1460
2000-01-08,2775,"Milwaukee, WI",LAS,"Las Vegas, NV",2059,2055,2236,4,2253,2240,0,1524
2000-01-15,2811,"Milwaukee, WI",PHX,"Phoenix, AZ",1600,,,,1849,,1,1460
2000-01-31,120,"Milwaukee, WI",PHX,"Phoenix, AZ",743,742,1010,40,1046,1050,0,1460
2000-01-30,2440,"Milwaukee, WI",PHX,"Phoenix, AZ",1600,1600,1841,8,1849,1849,0,1460
2000-01-12,129,"Milwaukee, WI",LAS,"Las Vegas, NV",2059,2059,2310,5,2253,2315,0,1524
2000-01-20,2440,"Milwaukee, WI",PHX,"Phoenix, AZ",1600,1600,1910,6,1849,1916,0,1460
2000-01-18,129,"Milwaukee, WI",LAS,"Las Vegas, NV",2059,2101,2300,10,2253,2310,0,1524
2000-01-19,129,"Milwaukee, WI",LAS,"Las Vegas, NV",2059,2059,2221,5,2253,2226,0,1524
2000-01-26,2440,"Milwaukee, WI",PHX,"Phoenix, AZ",1600,1557,1850,9,1849,1859,0,1460
2000-01-10,2440,"Milwaukee, WI",PHX,"Phoenix, AZ",1600,1600,1845,12,1849,1857,0,1460
2000-01-07,2440,"Milwaukee, WI",PHX,"Phoenix, AZ",1600,,,,1849,,1,1460
2000-01-06,120,"Milwaukee, WI",PHX,"Phoenix, AZ",743,743,1040,3,1046,1043,0,1460
2000-01-29,2788,"Milwaukee, WI",PHX,"Phoenix, AZ",743,751,1026,7,1046,1033,0,1460
2000-01-26,120,"Milwaukee, WI",PHX,"Phoenix, AZ",743,815,1104,5,1046,1109,0,1460
2000-01-15,2775,"Milwaukee, WI",LAS,"Las Vegas, NV",2059,2108,2306,4,2253,2310,0,1524
