2000-01-24,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1856,2120,5,2150,2125,0,1069
2000-01-17,399,"Fort Lauderdale, FL",STL,"St. Louis, MO",840,839,1025,3,1034,1028,0,1056
2000-01-28,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1737,1936,5,1937,1941,0,1056
2000-01-04,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1434,1610,8,1632,1618,0,1056
2000-01-08,399,"Fort Lauderdale, FL",STL,"St. Louis, MO",840,844,1024,2,1034,1026,0,1056
2000-01-31,399,"Fort Lauderdale, FL",STL,"St. Louis, MO",840,841,1018,6,1034,1024,0,1056
2000-01-18,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1741,1933,5,1937,1938,0,1056
2000-01-04,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1903,2121,4,2150,2125,0,1069
2000-01-13,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2057,2231,4,2152,2235,0,1056
2000-01-22,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1905,2138,3,2150,2141,0,1069
2000-01-01,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2021,2153,4,2152,2157,0,1056
2000-01-08,683,"Fort Lauderdale, FL",STL,"St. Louis, MO",1147,1152,1339,8,1345,1347,0,1056
2000-01-22,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1434,1622,10,1632,1632,0,1056
2000-01-11,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,739,1058,24,1113,1122,0,1046
2000-01-31,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,744,1110,5,1113,1115,0,1046
2000-01-22,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,741,1053,8,1113,1101,0,1046
2000-01-17,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1426,1633,4,1632,1637,0,1056
2000-01-06,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1746,1938,3,1937,1941,0,1056
2000-01-19,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1901,2147,6,2150,2153,0,1069
2000-01-29,399,"Fort Lauderdale, FL",STL,"St. Louis, MO",840,838,1050,9,1034,1059,0,1056
2000-01-07,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1437,1637,6,1632,1643,0,1056
2000-01-12,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1900,2129,3,2150,2132,0,1069
2000-01-29,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,738,1058,4,1113,1102,0,1046
2000-01-20,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1900,2118,8,1937,2126,0,1056
2000-01-31,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1911,2129,4,2150,2133,0,1069
2000-01-04,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1800,1943,3,1937,1946,0,1056
2000-01-29,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,1955,2137,6,2152,2143,0,1056
2000-01-03,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2031,2200,8,2152,2208,0,1056
2000-01-10,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2001,2152,5,2152,2157,0,1056
2000-01-30,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1455,1646,6,1632,1652,0,1056
2000-01-05,399,"Fort Lauderdale, FL",STL,"St. Louis, MO",840,840,1031,1,1034,1032,0,1056
2000-01-10,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1916,2143,4,2150,2147,0,1069
2000-01-31,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1737,1953,2,1937,1955,0,1056
2000-01-19,399,"Fort Lauderdale, FL",STL,"St. Louis, MO",840,848,1118,2,1034,1120,0,1056
2000-01-26,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1434,1637,5,1632,1642,0,1056
2000-01-16,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1433,1621,2,1632,1623,0,1056
2000-01-03,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1549,1722,7,1632,1729,0,1056
2000-01-18,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2004,2148,3,2152,2151,0,1056
2000-01-29,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1818,1956,19,1937,2015,0,1056
2000-01-31,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1437,1637,5,1632,1642,0,1056
2000-01-04,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2002,2144,3,2152,2147,0,1056
2000-01-18,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,740,1054,5,1113,1059,0,1046
2000-01-12,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2010,2153,5,2152,2158,0,1056
2000-01-26,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,1950,2151,3,2152,2154,0,1056
2000-01-22,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1749,1936,3,1937,1939,0,1056
2000-01-30,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2049,2228,6,2152,2234,0,1056
2000-01-13,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,740,1105,12,1113,1117,0,1046
2000-01-25,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,1948,2155,6,2152,2201,0,1056
2000-01-19,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,1952,2154,6,2152,2200,0,1056
2000-01-26,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1739,1932,5,1937,1937,0,1056
2000-01-21,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,738,1055,4,1113,1059,0,1046
2000-01-09,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1742,1944,3,1937,1947,0,1056
2000-01-04,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,745,1116,6,1108,1122,0,1046
2000-01-15,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1739,1921,5,1937,1926,0,1056
2000-01-21,399,"Fort Lauderdale, FL",STL,"St. Louis, MO",840,835,1035,3,1034,1038,0,1056
2000-01-22,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,1955,2143,6,2152,2149,0,1056
2000-01-15,683,"Fort Lauderdale, FL",STL,"St. Louis, MO",1150,1208,1357,3,1348,1400,0,1056
2000-01-24,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1426,1604,5,1632,1609,0,1056
2000-01-17,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1903,2150,4,2150,2154,0,1069
2000-01-15,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,742,1100,4,1113,1104,0,1046
2000-01-18,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1908,2154,5,2150,2159,0,1069
2000-01-06,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1432,1612,5,1632,1617,0,1056
2000-01-17,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2152,2344,6,2152,2350,0,1056
2000-01-11,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1435,1623,3,1632,1626,0,1056
2000-01-05,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,741,1116,3,1108,1119,0,1046
2000-01-17,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,740,1050,6,1113,1056,0,1046
2000-01-09,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2029,2207,3,2152,2210,0,1056
2000-01-29,683,"Fort Lauderdale, FL",STL,"St. Louis, MO",1150,1301,1448,10,1348,1458,0,1056
2000-01-20,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1906,2151,12,2150,2203,0,1069
2000-01-14,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1739,1943,3,1937,1946,0,1056
2000-01-28,399,"Fort Lauderdale, FL",STL,"St. Louis, MO",840,837,1017,4,1034,1021,0,1056
2000-01-01,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1430,1616,5,1632,1621,0,1056
2000-01-07,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1859,2128,5,2150,2133,0,1069
2000-01-06,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,741,1105,22,1108,1127,0,1046
2000-01-23,683,"Fort Lauderdale, FL",STL,"St. Louis, MO",1150,1202,1339,4,1348,1343,0,1056
2000-01-08,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,753,1108,5,1108,1113,0,1046
2000-01-08,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2044,2224,3,2152,2227,0,1056
2000-01-23,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1435,1617,5,1632,1622,0,1056
2000-01-05,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1740,1940,2,1937,1942,0,1056
2000-01-14,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2029,2214,3,2152,2217,0,1056
2000-01-25,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,740,1104,6,1113,1110,0,1046
2000-01-11,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1859,2134,2,2150,2136,0,1069
2000-01-01,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1903,2139,7,2150,2146,0,1069
2000-01-27,928,"Fort Lauderdale, FL",SJU,"San Juan, PR",745,742,1103,3,1113,1106,0,1046
2000-01-27,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1917,2141,4,2150,2145,0,1069
2000-01-25,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1918,2153,19,2150,2212,0,1069
2000-01-09,399,"Fort Lauderdale, FL",STL,"St. Louis, MO",840,836,1018,4,1034,1022,0,1056
2000-01-23,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1921,2144,5,2150,2149,0,1069
2000-01-05,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2010,2157,3,2152,2200,0,1056
2000-01-15,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1434,1624,4,1632,1628,0,1056
2000-01-08,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1743,1938,2,1937,1940,0,1056
2000-01-23,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1738,1929,9,1937,1938,0,1056
2000-01-30,683,"Fort Lauderdale, FL",STL,"St. Louis, MO",1150,1203,1350,6,1348,1356,0,1056
2000-01-15,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1901,2151,5,2150,2156,0,1069
2000-01-21,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1900,2147,5,2150,2152,0,1069
2000-01-13,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1858,2135,3,2150,2138,0,1069
2000-01-27,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1434,1625,5,1632,1630,0,1056
2000-01-10,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1736,1934,5,1937,1939,0,1056
2000-01-21,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2119,2319,2,2152,2321,0,1056
2000-01-07,399,"Fort Lauderdale, FL",STL,"St. Louis, MO",840,836,1023,2,1034,1025,0,1056
2000-01-09,798,"Fort Lauderdale, FL",JFK,"New York, NY",1905,1901,2126,2,2150,2128,0,1069
2000-01-01,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1739,1923,5,1937,1928,0,1056
2000-01-14,399,"Fort Lauderdale, FL",STL,"St. Louis, MO",840,835,1047,2,1034,1049,0,1056
2000-01-22,683,"Fort Lauderdale, FL",STL,"St. Louis, MO",1150,1200,1355,3,1348,1358,0,1056
2000-01-12,167,"Fort Lauderdale, FL",STL,"St. Louis, MO",1740,1733,1915,2,1937,1917,0,1056
2000-01-01,683,"Fort Lauderdale, FL",STL,"St. Louis, MO",1147,1143,1325,5,1345,1330,0,1056
2000-01-04,399,"Fort Lauderdale, FL",STL,"St. Louis, MO",840,901,1040,4,1034,1044,0,1056
2000-01-16,929,"Fort Lauderdale, FL",STL,"St. Louis, MO",1955,2002,2154,3,2152,2157,0,1056
2000-01-10,231,"Fort Lauderdale, FL",STL,"St. Louis, MO",1435,1427,1622,4,1632,1626,0,1056
