2000-01-14,2011,"Buffalo, NY",LGA,"New York, NY",1647,,,,1759,,1,292
2000-01-17,1725,"Buffalo, NY",CLT,"Charlotte, NC",1100,1126,1253,3,1242,1256,0,546
2000-01-31,2011,"Buffalo, NY",LGA,"New York, NY",1647,1724,1852,8,1759,1900,0,292
2000-01-18,2233,"Buffalo, NY",PHL,"Philadelphia, PA",1538,1532,1637,5,1645,1642,0,279
2000-01-26,1804,"Buffalo, NY",BOS,"Boston, MA",705,658,816,10,822,826,0,396
2000-01-15,2106,"Buffalo, NY",LGA,"New York, NY",635,630,732,4,750,736,0,292
2000-01-05,225,"Buffalo, NY",BOS,"Boston, MA",1530,1617,1749,12,1648,1801,0,396
2000-01-03,409,"Buffalo, NY",PHL,"Philadelphia, PA",755,753,857,4,904,901,0,279
2000-01-12,1512,"Buffalo, NY",DCA,"Washington, DC",1730,1726,1822,8,1833,1830,0,296
2000-01-18,869,"Buffalo, NY",PIT,"Pittsburgh, PA",715,709,759,6,814,805,0,186
2000-01-05,389,"Buffalo, NY",LGA,"New York, NY",2105,2102,2154,3,2217,2157,0,292
2000-01-05,2299,"Buffalo, NY",DCA,"Washington, DC",715,738,831,4,820,835,0,296
2000-01-04,409,"Buffalo, NY",PHL,"Philadelphia, PA",755,755,914,7,904,921,0,279
2000-01-02,1447,"Buffalo, NY",LGA,"New York, NY",1835,1927,2035,6,1947,2041,0,292
2000-01-03,2012,"Buffalo, NY",PIT,"Pittsburgh, PA",1550,1557,1650,5,1647,1655,0,186
2000-01-28,1583,"Buffalo, NY",PHL,"Philadelphia, PA",1132,1137,1235,4,1239,1239,0,279
2000-01-05,1512,"Buffalo, NY",DCA,"Washington, DC",1730,1747,1845,7,1833,1852,0,296
2000-01-08,409,"Buffalo, NY",PHL,"Philadelphia, PA",755,751,851,5,904,856,0,279
2000-01-24,555,"Buffalo, NY",PIT,"Pittsburgh, PA",945,942,1035,7,1042,1042,0,186
2000-01-23,2253,"Buffalo, NY",LGA,"New York, NY",1030,1028,1130,5,1142,1135,0,292
2000-01-14,2106,"Buffalo, NY",LGA,"New York, NY",635,635,752,7,750,759,0,292
2000-01-19,1625,"Buffalo, NY",CLT,"Charlotte, NC",825,822,1000,4,1009,1004,0,546
2000-01-05,2253,"Buffalo, NY",LGA,"New York, NY",1030,1031,1132,11,1142,1143,0,292
2000-01-26,869,"Buffalo, NY",PIT,"Pittsburgh, PA",715,,,,814,,1,186
2000-01-08,1447,"Buffalo, NY",LGA,"New York, NY",1835,1832,1928,6,1947,1934,0,292
2000-01-02,1583,"Buffalo, NY",PHL,"Philadelphia, PA",1132,1140,1250,5,1239,1255,0,279
2000-01-08,555,"Buffalo, NY",PIT,"Pittsburgh, PA",945,945,1035,5,1042,1040,0,186
2000-01-05,2380,"Buffalo, NY",PIT,"Pittsburgh, PA",1858,1911,1956,6,1955,2002,0,186
2000-01-03,2380,"Buffalo, NY",PIT,"Pittsburgh, PA",1858,1857,1947,7,1955,1954,0,186
2000-01-09,2011,"Buffalo, NY",LGA,"New York, NY",1647,1647,1746,8,1759,1754,0,292
2000-01-04,555,"Buffalo, NY",PIT,"Pittsburgh, PA",945,945,1051,6,1042,1057,0,186
2000-01-21,1447,"Buffalo, NY",LGA,"New York, NY",1835,1914,,,1947,,0,292
2000-01-02,1512,"Buffalo, NY",DCA,"Washington, DC",1730,1741,1837,8,1833,1845,0,296
2000-01-24,1923,"Buffalo, NY",DCA,"Washington, DC",1220,1238,1336,3,1323,1339,0,296
2000-01-27,2106,"Buffalo, NY",LGA,"New York, NY",635,631,748,5,750,753,0,292
2000-01-03,2233,"Buffalo, NY",PHL,"Philadelphia, PA",1538,1530,1716,7,1645,1723,0,279
2000-01-13,2102,"Buffalo, NY",BOS,"Boston, MA",1146,1156,1256,11,1304,1307,0,396
2000-01-27,349,"Buffalo, NY",PHL,"Philadelphia, PA",1746,1750,1858,12,1853,1910,0,279
2000-01-13,349,"Buffalo, NY",PHL,"Philadelphia, PA",1746,1743,1838,13,1853,1851,0,279
2000-01-09,349,"Buffalo, NY",PHL,"Philadelphia, PA",1746,2101,2154,6,1853,2200,0,279
2000-01-02,1625,"Buffalo, NY",CLT,"Charlotte, NC",825,827,1017,7,1009,1024,0,546
2000-01-06,1923,"Buffalo, NY",DCA,"Washington, DC",1220,1239,1341,5,1323,1346,0,296
2000-01-05,1447,"Buffalo, NY",LGA,"New York, NY",1835,1833,1939,30,1947,2009,0,292
2000-01-03,2011,"Buffalo, NY",LGA,"New York, NY",1647,,,,1759,,1,292
2000-01-14,1447,"Buffalo, NY",LGA,"New York, NY",1835,1942,2052,4,1947,2056,0,292
2000-01-30,2102,"Buffalo, NY",BOS,"Boston, MA",1146,1209,1310,8,1304,1318,0,396
2000-01-27,2233,"Buffalo, NY",PHL,"Philadelphia, PA",1538,1534,1641,4,1645,1645,0,279
2000-01-21,225,"Buffalo, NY",BOS,"Boston, MA",1530,1638,1848,8,1648,1856,0,396
2000-01-31,389,"Buffalo, NY",LGA,"New York, NY",2105,2118,2237,8,2217,2245,0,292
2000-01-13,1208,"Buffalo, NY",CLT,"Charlotte, NC",1805,1804,1937,5,1949,1942,0,546
2000-01-23,409,"Buffalo, NY",PHL,"Philadelphia, PA",755,801,901,6,904,907,0,279
2000-01-16,409,"Buffalo, NY",PHL,"Philadelphia, PA",755,751,850,6,904,856,0,279
2000-01-23,2012,"Buffalo, NY",PIT,"Pittsburgh, PA",1550,1546,1636,6,1647,1642,0,186
2000-01-17,2299,"Buffalo, NY",DCA,"Washington, DC",715,731,823,7,820,830,0,296
2000-01-28,225,"Buffalo, NY",BOS,"Boston, MA",1530,1522,1636,12,1648,1648,0,396
2000-01-26,1583,"Buffalo, NY",PHL,"Philadelphia, PA",1132,1227,1350,24,1239,1414,0,279
2000-01-04,2106,"Buffalo, NY",LGA,"New York, NY",635,634,737,15,750,752,0,292
2000-01-07,2011,"Buffalo, NY",LGA,"New York, NY",1647,1642,1745,9,1759,1754,0,292
2000-01-25,1208,"Buffalo, NY",CLT,"Charlotte, NC",1805,1849,2016,4,1949,2020,0,546
2000-01-07,869,"Buffalo, NY",PIT,"Pittsburgh, PA",715,713,810,5,814,815,0,186
2000-01-30,409,"Buffalo, NY",PHL,"Philadelphia, PA",755,754,858,7,904,905,0,279
2000-01-27,2011,"Buffalo, NY",LGA,"New York, NY",1647,1647,1758,12,1759,1810,0,292
2000-01-20,2011,"Buffalo, NY",LGA,"New York, NY",1647,,,,1759,,1,292
2000-01-04,1197,"Buffalo, NY",PHL,"Philadelphia, PA",600,555,707,5,710,712,0,279
2000-01-14,1804,"Buffalo, NY",BOS,"Boston, MA",705,712,844,14,822,858,0,396
2000-01-20,869,"Buffalo, NY",PIT,"Pittsburgh, PA",715,710,810,8,814,818,0,186
2000-01-17,2011,"Buffalo, NY",LGA,"New York, NY",1647,,,,1759,,1,292
2000-01-18,1197,"Buffalo, NY",PHL,"Philadelphia, PA",600,554,658,4,710,702,0,279
2000-01-28,1804,"Buffalo, NY",BOS,"Boston, MA",705,659,830,10,822,840,0,396
2000-01-07,1077,"Buffalo, NY",LGA,"New York, NY",1400,1417,1513,8,1512,1521,0,292
2000-01-06,869,"Buffalo, NY",PIT,"Pittsburgh, PA",715,713,801,6,814,807,0,186
2000-01-19,389,"Buffalo, NY",LGA,"New York, NY",2105,2109,2207,8,2217,2215,0,292
2000-01-08,1197,"Buffalo, NY",PHL,"Philadelphia, PA",600,554,655,6,710,701,0,279
2000-01-25,1512,"Buffalo, NY",DCA,"Washington, DC",1730,1814,,,1833,,0,296
2000-01-22,1871,"Buffalo, NY",PIT,"Pittsburgh, PA",1215,1209,1246,6,1312,1252,0,186
2000-01-07,1208,"Buffalo, NY",CLT,"Charlotte, NC",1805,1801,1940,4,1949,1944,0,546
2000-01-06,2299,"Buffalo, NY",DCA,"Washington, DC",715,707,813,4,820,817,0,296
2000-01-11,1512,"Buffalo, NY",DCA,"Washington, DC",1730,1739,1833,3,1833,1836,0,296
2000-01-22,2141,"Buffalo, NY",DCA,"Washington, DC",715,716,816,9,820,825,0,296
2000-01-24,2253,"Buffalo, NY",LGA,"New York, NY",1030,1029,1135,5,1142,1140,0,292
2000-01-31,1512,"Buffalo, NY",DCA,"Washington, DC",1730,1828,1940,4,1833,1944,0,296
2000-01-11,349,"Buffalo, NY",PHL,"Philadelphia, PA",1746,1743,1903,3,1853,1906,0,279
2000-01-22,1725,"Buffalo, NY",CLT,"Charlotte, NC",1100,1110,1245,5,1248,1250,0,546
2000-01-10,1625,"Buffalo, NY",CLT,"Charlotte, NC",825,825,1024,8,1009,1032,0,546
2000-01-23,225,"Buffalo, NY",BOS,"Boston, MA",1530,1525,1642,13,1648,1655,0,396
2000-01-24,409,"Buffalo, NY",PHL,"Philadelphia, PA",755,757,856,19,904,915,0,279
2000-01-15,1871,"Buffalo, NY",PIT,"Pittsburgh, PA",1215,1214,1300,5,1312,1305,0,186
2000-01-10,1077,"Buffalo, NY",LGA,"New York, NY",1400,1444,1616,4,1512,1620,0,292
2000-01-09,2102,"Buffalo, NY",BOS,"Boston, MA",1146,1140,1232,6,1304,1238,0,396
2000-01-13,2011,"Buffalo, NY",LGA,"New York, NY",1647,1817,1928,5,1759,1933,0,292
2000-01-10,2106,"Buffalo, NY",LGA,"New York, NY",635,631,735,9,750,744,0,292
2000-01-23,2233,"Buffalo, NY",PHL,"Philadelphia, PA",1538,1558,1715,7,1645,1722,0,279
2000-01-16,555,"Buffalo, NY",PIT,"Pittsburgh, PA",945,943,1026,3,1042,1029,0,186
2000-01-15,1725,"Buffalo, NY",CLT,"Charlotte, NC",1100,1137,1303,6,1242,1309,0,546
2000-01-03,555,"Buffalo, NY",PIT,"Pittsburgh, PA",945,1002,1053,5,1042,1058,0,186
2000-01-17,1804,"Buffalo, NY",BOS,"Boston, MA",705,706,826,12,822,838,0,396
2000-01-08,1077,"Buffalo, NY",LGA,"New York, NY",1400,1357,1453,5,1512,1458,0,292
2000-01-12,1625,"Buffalo, NY",CLT,"Charlotte, NC",825,827,957,6,1009,1003,0,546
2000-01-07,2233,"Buffalo, NY",PHL,"Philadelphia, PA",1538,1533,1639,13,1645,1652,0,279
2000-01-05,1208,"Buffalo, NY",CLT,"Charlotte, NC",1805,1802,1944,5,1949,1949,0,546
2000-01-21,1725,"Buffalo, NY",CLT,"Charlotte, NC",1100,1120,1245,6,1248,1251,0,546
2000-01-11,869,"Buffalo, NY",PIT,"Pittsburgh, PA",715,710,813,9,814,822,0,186
2000-01-17,1923,"Buffalo, NY",DCA,"Washington, DC",1220,1221,1311,3,1323,1314,0,296
2000-01-06,2106,"Buffalo, NY",LGA,"New York, NY",635,632,735,6,750,741,0,292
2000-01-28,2102,"Buffalo, NY",BOS,"Boston, MA",1146,1204,1323,12,1304,1335,0,396
2000-01-07,2380,"Buffalo, NY",PIT,"Pittsburgh, PA",1858,1854,1941,4,1955,1945,0,186
2000-01-15,2141,"Buffalo, NY",DCA,"Washington, DC",715,713,812,4,820,816,0,296
2000-01-13,1197,"Buffalo, NY",PHL,"Philadelphia, PA",600,557,754,7,710,801,0,279
2000-01-06,2253,"Buffalo, NY",LGA,"New York, NY",1030,1029,1121,6,1142,1127,0,292
2000-01-26,2253,"Buffalo, NY",LGA,"New York, NY",1030,1112,1218,5,1142,1223,0,292
2000-01-19,1725,"Buffalo, NY",CLT,"Charlotte, NC",1100,1122,1249,4,1242,1253,0,546
2000-01-10,2299,"Buffalo, NY",DCA,"Washington, DC",715,713,819,3,820,822,0,296
2000-01-11,1208,"Buffalo, NY",CLT,"Charlotte, NC",1805,1818,2013,5,1949,2018,0,546
2000-01-06,409,"Buffalo, NY",PHL,"Philadelphia, PA",755,754,853,5,904,858,0,279
2000-01-16,2380,"Buffalo, NY",PIT,"Pittsburgh, PA",1858,1907,1949,4,1955,1953,0,186
2000-01-05,1197,"Buffalo, NY",PHL,"Philadelphia, PA",600,600,657,4,710,701,0,279
2000-01-30,2011,"Buffalo, NY",LGA,"New York, NY",1647,1640,1749,7,1759,1756,0,292
2000-01-01,2012,"Buffalo, NY",PIT,"Pittsburgh, PA",1550,1604,1649,7,1647,1656,0,186
2000-01-11,1804,"Buffalo, NY",BOS,"Boston, MA",705,703,803,6,822,809,0,396
2000-01-26,225,"Buffalo, NY",BOS,"Boston, MA",1530,1527,1707,9,1648,1716,0,396
2000-01-21,1512,"Buffalo, NY",DCA,"Washington, DC",1730,1740,1833,3,1833,1836,0,296
2000-01-01,1447,"Buffalo, NY",LGA,"New York, NY",1835,1830,1931,7,1947,1938,0,292
2000-01-10,389,"Buffalo, NY",LGA,"New York, NY",2105,2103,2200,6,2217,2206,0,292
2000-01-03,2253,"Buffalo, NY",LGA,"New York, NY",1030,1032,1135,9,1142,1144,0,292
2000-01-11,555,"Buffalo, NY",PIT,"Pittsburgh, PA",945,941,1031,6,1042,1037,0,186
2000-01-16,1197,"Buffalo, NY",PHL,"Philadelphia, PA",600,602,658,8,710,706,0,279
2000-01-25,2233,"Buffalo, NY",PHL,"Philadelphia, PA",1538,,,,1645,,1,279
2000-01-31,869,"Buffalo, NY",PIT,"Pittsburgh, PA",715,726,814,7,814,821,0,186
2000-01-14,2299,"Buffalo, NY",DCA,"Washington, DC",715,741,836,5,820,841,0,296
2000-01-18,2299,"Buffalo, NY",DCA,"Washington, DC",715,712,808,4,820,812,0,296
2000-01-15,349,"Buffalo, NY",PHL,"Philadelphia, PA",1746,1749,1849,5,1853,1854,0,279
2000-01-31,409,"Buffalo, NY",PHL,"Philadelphia, PA",755,,,,904,,1,279
2000-01-14,1077,"Buffalo, NY",LGA,"New York, NY",1400,1534,1656,5,1512,1701,0,292
2000-01-09,225,"Buffalo, NY",BOS,"Boston, MA",1530,1527,1644,7,1648,1651,0,396
2000-01-10,1208,"Buffalo, NY",CLT,"Charlotte, NC",1805,1904,2045,6,1949,2051,0,546
2000-01-07,1512,"Buffalo, NY",DCA,"Washington, DC",1730,1727,1826,10,1833,1836,0,296
2000-01-08,2233,"Buffalo, NY",PHL,"Philadelphia, PA",1538,1538,1643,5,1645,1648,0,279
2000-01-20,2106,"Buffalo, NY",LGA,"New York, NY",635,630,810,5,750,815,0,292
2000-01-14,1923,"Buffalo, NY",DCA,"Washington, DC",1220,1255,1349,3,1323,1352,0,296
2000-01-30,1625,"Buffalo, NY",CLT,"Charlotte, NC",825,,,,1009,,1,546
2000-01-23,389,"Buffalo, NY",LGA,"New York, NY",2105,2115,2216,6,2217,2222,0,292
2000-01-14,2102,"Buffalo, NY",BOS,"Boston, MA",1146,1258,1425,6,1304,1431,0,396
2000-01-13,225,"Buffalo, NY",BOS,"Boston, MA",1530,1539,1731,15,1648,1746,0,396
2000-01-18,1208,"Buffalo, NY",CLT,"Charlotte, NC",1805,1809,2001,5,1949,2006,0,546
2000-01-05,1625,"Buffalo, NY",CLT,"Charlotte, NC",825,834,1008,4,1009,1012,0,546
2000-01-05,2102,"Buffalo, NY",BOS,"Boston, MA",1146,1219,1319,6,1304,1325,0,396
2000-01-25,349,"Buffalo, NY",PHL,"Philadelphia, PA",1746,,,,1853,,1,279
2000-01-03,1725,"Buffalo, NY",CLT,"Charlotte, NC",1100,1108,1253,6,1242,1259,0,546
2000-01-20,1583,"Buffalo, NY",PHL,"Philadelphia, PA",1132,,,,1239,,1,279
2000-01-06,1583,"Buffalo, NY",PHL,"Philadelphia, PA",1132,1129,1220,5,1239,1225,0,279
2000-01-17,2380,"Buffalo, NY",PIT,"Pittsburgh, PA",1858,1857,1948,6,1955,1954,0,186
2000-01-19,1447,"Buffalo, NY",LGA,"New York, NY",1835,1831,1940,9,1947,1949,0,292
2000-01-27,1923,"Buffalo, NY",DCA,"Washington, DC",1220,1228,1333,5,1323,1338,0,296
2000-01-25,1197,"Buffalo, NY",PHL,"Philadelphia, PA",600,,,,710,,1,279
2000-01-31,1725,"Buffalo, NY",CLT,"Charlotte, NC",1100,1109,1241,6,1248,1247,0,546
2000-01-17,1447,"Buffalo, NY",LGA,"New York, NY",1835,1947,2051,5,1947,2056,0,292
2000-01-10,1923,"Buffalo, NY",DCA,"Washington, DC",1220,1216,1330,4,1323,1334,0,296
2000-01-14,869,"Buffalo, NY",PIT,"Pittsburgh, PA",715,716,820,7,814,827,0,186
2000-01-11,1197,"Buffalo, NY",PHL,"Philadelphia, PA",600,554,704,3,710,707,0,279
2000-01-01,1725,"Buffalo, NY",CLT,"Charlotte, NC",1100,1118,1253,13,1242,1306,0,546
2000-01-03,2106,"Buffalo, NY",LGA,"New York, NY",635,632,740,11,750,751,0,292
2000-01-18,1625,"Buffalo, NY",CLT,"Charlotte, NC",825,821,955,5,1009,1000,0,546
2000-01-21,1208,"Buffalo, NY",CLT,"Charlotte, NC",1805,1910,2042,6,1949,2048,0,546
2000-01-06,349,"Buffalo, NY",PHL,"Philadelphia, PA",1746,,,,1853,,1,279
2000-01-14,1208,"Buffalo, NY",CLT,"Charlotte, NC",1805,1841,2006,6,1949,2012,0,546
2000-01-10,1447,"Buffalo, NY",LGA,"New York, NY",1835,2003,2102,10,1947,2112,0,292
2000-01-17,389,"Buffalo, NY",LGA,"New York, NY",2105,2105,2205,6,2217,2211,0,292
2000-01-30,225,"Buffalo, NY",BOS,"Boston, MA",1530,1534,1649,11,1648,1700,0,396
2000-01-23,1208,"Buffalo, NY",CLT,"Charlotte, NC",1805,1901,2054,4,1949,2058,0,546
2000-01-07,225,"Buffalo, NY",BOS,"Boston, MA",1530,1529,1630,9,1648,1639,0,396
2000-01-24,389,"Buffalo, NY",LGA,"New York, NY",2105,2111,2212,4,2217,2216,0,292
2000-01-18,2106,"Buffalo, NY",LGA,"New York, NY",635,635,741,6,750,747,0,292
2000-01-17,2253,"Buffalo, NY",LGA,"New York, NY",1030,1049,1207,6,1142,1213,0,292
2000-01-12,2011,"Buffalo, NY",LGA,"New York, NY",1647,1756,1857,10,1759,1907,0,292
