2000-01-10,302,"Washington, DC",JAX,"Jacksonville, FL",1410,1405,1613,2,1609,1615,0,634
2000-01-07,6426,"Washington, DC",BOS,"Boston, MA",2000,1958,2122,4,2129,2126,0,399
2000-01-07,915,"Washington, DC",MCI,"Kansas City, MO",2016,2010,2201,5,2208,2206,0,950
2000-01-02,428,"Washington, DC",RDU,"Raleigh/Durham, NC",905,1200,1305,3,1016,1308,0,227
2000-01-28,6418,"Washington, DC",BOS,"Boston, MA",1600,1600,1805,6,1729,1811,0,399
2000-01-06,6416,"Washington, DC",BOS,"Boston, MA",1500,1500,1612,5,1628,1617,0,399
2000-01-27,726,"Washington, DC",CLT,"Charlotte, NC",1440,,,,1558,,1,331
2000-01-20,6406,"Washington, DC",BOS,"Boston, MA",1000,,,,1125,,1,399
2000-01-03,2309,"Washington, DC",IND,"Indianapolis, IN",925,921,1110,8,1113,1118,0,499
2000-01-27,1924,"Washington, DC",PBI,"West Palm Beach/Palm Beach, FL",826,857,1113,4,1055,1117,0,857
2000-01-18,6424,"Washington, DC",BOS,"Boston, MA",1900,1859,2037,10,2029,2047,0,399
2000-01-31,915,"Washington, DC",MCI,"Kansas City, MO",2016,2006,2151,18,2208,2209,0,950
2000-01-05,6420,"Washington, DC",BOS,"Boston, MA",1700,1658,1822,15,1828,1837,0,399
2000-01-14,424,"Washington, DC",CMH,"Columbus, OH",840,835,957,6,956,1003,0,322
2000-01-19,2367,"Washington, DC",BNA,"Nashville, TN",1955,1953,2057,7,2051,2104,0,562
2000-01-03,6410,"Washington, DC",BOS,"Boston, MA",1200,1201,1315,13,1324,1328,0,399
2000-01-20,2116,"Washington, DC",IND,"Indianapolis, IN",1759,1811,2007,3,1949,2010,0,499
2000-01-25,1195,"Washington, DC",IND,"Indianapolis, IN",1230,,,,1418,,1,499
2000-01-16,428,"Washington, DC",RDU,"Raleigh/Durham, NC",905,859,957,4,1016,1001,0,227
2000-01-19,806,"Washington, DC",BUF,"Buffalo, NY",2100,2116,2219,4,2207,2223,0,296
2000-01-28,1423,"Washington, DC",RDU,"Raleigh/Durham, NC",1720,1818,1918,7,1825,1925,0,227
2000-01-02,976,"Washington, DC",ROC,"Rochester, NY",1425,1502,1613,5,1535,1618,0,296
2000-01-24,577,"Washington, DC",SDF,"Louisville, KY",805,803,950,5,952,955,0,474
2000-01-17,167,"Washington, DC",PHL,"Philadelphia, PA",625,703,759,2,715,801,0,119
2000-01-18,486,"Washington, DC",PHL,"Philadelphia, PA",750,745,832,4,843,836,0,119
2000-01-23,6412,"Washington, DC",BOS,"Boston, MA",1300,1259,1406,5,1426,1411,0,399
2000-01-18,1105,"Washington, DC",BNA,"Nashville, TN",1715,1727,1849,4,1810,1853,0,562
2000-01-24,1519,"Washington, DC",MSY,"New Orleans, LA",1945,1943,2115,6,2139,2121,0,969
2000-01-15,2299,"Washington, DC",MCO,"Orlando, FL",900,858,1058,3,1126,1101,0,759
2000-01-15,1184,"Washington, DC",TPA,"Tampa, FL",2025,2020,2217,5,2245,2222,0,814
2000-01-13,486,"Washington, DC",PHL,"Philadelphia, PA",750,743,816,5,843,821,0,119
2000-01-25,6406,"Washington, DC",BOS,"Boston, MA",1000,,,,1125,,1,399
2000-01-16,1928,"Washington, DC",PVD,"Providence, RI",2115,2118,2230,4,2226,2234,0,357
2000-01-13,1921,"Washington, DC",ATL,"Atlanta, GA",815,831,1020,4,1003,1024,0,547
2000-01-24,227,"Washington, DC",CLT,"Charlotte, NC",1142,1211,1342,5,1300,1347,0,331
2000-01-03,6424,"Washington, DC",BOS,"Boston, MA",1900,1858,2033,17,2029,2050,0,399
2000-01-24,105,"Washington, DC",PHL,"Philadelphia, PA",1550,1714,1803,6,1643,1809,0,119
2000-01-25,1717,"Washington, DC",SYR,"Syracuse, NY",1030,,,,1142,,1,298
2000-01-04,1536,"Washington, DC",BDL,"Hartford, CT",2110,2108,2211,6,2221,2217,0,313
2000-01-06,981,"Washington, DC",CLT,"Charlotte, NC",1420,1453,1604,2,1541,1606,0,331
2000-01-14,1741,"Washington, DC",CMH,"Columbus, OH",1641,1747,1859,4,1800,1903,0,322
2000-01-25,981,"Washington, DC",CLT,"Charlotte, NC",1420,,,,1541,,1,331
2000-01-09,1092,"Washington, DC",CLT,"Charlotte, NC",849,848,1001,3,1015,1004,0,331
2000-01-19,981,"Washington, DC",CLT,"Charlotte, NC",1420,1415,1523,5,1541,1528,0,331
2000-01-03,1747,"Washington, DC",DAY,"Dayton, OH",1825,1818,1942,5,1957,1947,0,391
2000-01-05,1512,"Washington, DC",PBI,"West Palm Beach/Palm Beach, FL",1920,1932,2148,5,2152,2153,0,857
2000-01-11,1749,"Washington, DC",MCI,"Kansas City, MO",755,748,1000,4,947,1004,0,950
2000-01-25,1423,"Washington, DC",RDU,"Raleigh/Durham, NC",1720,,,,1825,,1,227
2000-01-06,1724,"Washington, DC",SYR,"Syracuse, NY",2110,2105,2210,3,2217,2213,0,298
2000-01-14,1083,"Washington, DC",FLL,"Fort Lauderdale, FL",1818,1846,2115,2,2100,2117,0,899
2000-01-06,1558,"Washington, DC",PIT,"Pittsburgh, PA",2020,2018,2116,7,2122,2123,0,205
2000-01-07,1781,"Washington, DC",PHL,"Philadelphia, PA",1730,1733,1828,4,1823,1832,0,119
2000-01-17,1704,"Washington, DC",ROC,"Rochester, NY",1020,1016,1130,3,1132,1133,0,296
2000-01-29,6424,"Washington, DC",BOS,"Boston, MA",1900,1857,2024,6,2029,2030,0,399
2000-01-22,1923,"Washington, DC",ATL,"Atlanta, GA",1400,1357,1547,5,1547,1552,0,547
2000-01-17,1473,"Washington, DC",SDF,"Louisville, KY",1900,1859,2039,9,2047,2048,0,474
2000-01-10,6422,"Washington, DC",BOS,"Boston, MA",1800,1801,2057,6,1928,2103,0,399
2000-01-12,1603,"Washington, DC",TPA,"Tampa, FL",859,906,1111,3,1119,1114,0,814
2000-01-29,1610,"Washington, DC",PVD,"Providence, RI",1005,1000,1112,4,1120,1116,0,357
2000-01-10,846,"Washington, DC",ALB,"Albany, NY",1455,1450,1556,3,1612,1559,0,318
2000-01-06,1700,"Washington, DC",MHT,"Manchester, NH",2115,2108,2226,3,2237,2229,0,407
2000-01-30,1657,"Washington, DC",CLT,"Charlotte, NC",2011,,,,2132,,1,331
2000-01-18,6412,"Washington, DC",BOS,"Boston, MA",1300,1300,1412,7,1426,1419,0,399
2000-01-05,41,"Washington, DC",CLT,"Charlotte, NC",615,646,758,5,730,803,0,331
2000-01-05,2367,"Washington, DC",BNA,"Nashville, TN",1955,1949,2036,7,2051,2043,0,562
2000-01-19,1105,"Washington, DC",BNA,"Nashville, TN",1715,1710,1815,6,1810,1821,0,562
2000-01-18,846,"Washington, DC",ALB,"Albany, NY",1455,1450,1635,4,1612,1639,0,318
2000-01-21,424,"Washington, DC",CMH,"Columbus, OH",840,838,957,4,956,1001,0,322
2000-01-20,1184,"Washington, DC",TPA,"Tampa, FL",2025,2042,2256,4,2245,2300,0,814
2000-01-12,1724,"Washington, DC",SYR,"Syracuse, NY",2110,2143,2247,5,2217,2252,0,298
2000-01-27,6414,"Washington, DC",BOS,"Boston, MA",1400,,,,1528,,1,399
2000-01-23,428,"Washington, DC",RDU,"Raleigh/Durham, NC",905,857,957,3,1016,1000,0,227
2000-01-12,1743,"Washington, DC",ALB,"Albany, NY",2110,2106,2211,3,2224,2214,0,318
2000-01-05,1536,"Washington, DC",BDL,"Hartford, CT",2110,2103,2215,9,2221,2224,0,313
2000-01-02,981,"Washington, DC",CLT,"Charlotte, NC",1420,1423,1525,6,1541,1531,0,331
2000-01-12,2299,"Washington, DC",MCO,"Orlando, FL",900,858,1102,3,1126,1105,0,759
2000-01-30,6418,"Washington, DC",BOS,"Boston, MA",1600,,,,1729,,1,399
2000-01-12,6424,"Washington, DC",BOS,"Boston, MA",1900,1858,2026,12,2029,2038,0,399
2000-01-28,1215,"Washington, DC",GSO,"Greensboro/High Point, NC",1900,1902,2009,4,2006,2013,0,248
2000-01-06,2309,"Washington, DC",IND,"Indianapolis, IN",925,,,,1113,,1,499
2000-01-26,2116,"Washington, DC",IND,"Indianapolis, IN",1759,1755,1943,8,1949,1951,0,499
2000-01-26,542,"Washington, DC",BDL,"Hartford, CT",859,,,,1010,,1,313
2000-01-05,6424,"Washington, DC",BOS,"Boston, MA",1900,1859,2012,9,2029,2021,0,399
2000-01-26,331,"Washington, DC",DAY,"Dayton, OH",1230,,,,1400,,1,391
2000-01-05,1519,"Washington, DC",MSY,"New Orleans, LA",1945,1938,2128,4,2139,2132,0,969
2000-01-25,1611,"Washington, DC",PIT,"Pittsburgh, PA",1559,,,,1704,,1,205
2000-01-02,6406,"Washington, DC",BOS,"Boston, MA",1000,1003,1115,6,1125,1121,0,399
2000-01-12,2192,"Washington, DC",CLT,"Charlotte, NC",1830,1831,1936,5,1950,1941,0,331
2000-01-27,2192,"Washington, DC",CLT,"Charlotte, NC",1830,1837,1949,5,1950,1954,0,331
2000-01-23,1781,"Washington, DC",PHL,"Philadelphia, PA",1730,1725,1804,16,1823,1820,0,119
2000-01-05,1199,"Washington, DC",BUF,"Buffalo, NY",1356,1354,1459,4,1505,1503,0,296
2000-01-19,6404,"Washington, DC",BOS,"Boston, MA",900,901,1021,8,1029,1029,0,399
2000-01-16,302,"Washington, DC",JAX,"Jacksonville, FL",1410,1405,1554,3,1609,1557,0,634
2000-01-10,1184,"Washington, DC",TPA,"Tampa, FL",2025,2107,2333,4,2245,2337,0,814
2000-01-10,6418,"Washington, DC",BOS,"Boston, MA",1600,1559,1928,10,1729,1938,0,399
2000-01-11,1610,"Washington, DC",PVD,"Providence, RI",1005,1010,1111,3,1120,1114,0,357
2000-01-11,1704,"Washington, DC",ROC,"Rochester, NY",1020,1015,1119,7,1132,1126,0,296
2000-01-27,1105,"Washington, DC",BNA,"Nashville, TN",1715,1721,1818,5,1810,1823,0,562
2000-01-03,1092,"Washington, DC",CLT,"Charlotte, NC",849,851,956,5,1015,1001,0,331
2000-01-27,851,"Washington, DC",CLT,"Charlotte, NC",1010,,,,1130,,1,331
2000-01-23,1941,"Washington, DC",ATL,"Atlanta, GA",1710,1712,1911,9,1903,1920,0,547
2000-01-06,806,"Washington, DC",BUF,"Buffalo, NY",2100,2100,2155,2,2207,2157,0,296
2000-01-31,486,"Washington, DC",PHL,"Philadelphia, PA",750,759,853,3,843,856,0,119
2000-01-31,1747,"Washington, DC",DAY,"Dayton, OH",1825,1824,1943,5,1957,1948,0,391
2000-01-17,155,"Washington, DC",PIT,"Pittsburgh, PA",956,950,1046,5,1058,1051,0,205
2000-01-05,1724,"Washington, DC",SYR,"Syracuse, NY",2110,2122,2212,3,2217,2215,0,298
2000-01-23,1747,"Washington, DC",DAY,"Dayton, OH",1825,1825,1952,6,1957,1958,0,391
2000-01-07,1265,"Washington, DC",PIT,"Pittsburgh, PA",1210,1207,1307,5,1312,1312,0,205
2000-01-06,1781,"Washington, DC",PHL,"Philadelphia, PA",1730,1727,1813,6,1823,1819,0,119
2000-01-03,2046,"Washington, DC",ROC,"Rochester, NY",2100,2051,2158,4,2210,2202,0,296
2000-01-19,1657,"Washington, DC",CLT,"Charlotte, NC",2011,2010,2121,4,2132,2125,0,331
2000-01-13,1749,"Washington, DC",MCI,"Kansas City, MO",755,751,1004,4,947,1008,0,950
2000-01-27,1083,"Washington, DC",FLL,"Fort Lauderdale, FL",1818,1825,2058,3,2100,2101,0,899
2000-01-31,1212,"Washington, DC",MHT,"Manchester, NH",1355,1402,1519,5,1521,1524,0,407
2000-01-09,6420,"Washington, DC",BOS,"Boston, MA",1700,1659,1815,8,1828,1823,0,399
2000-01-09,1741,"Washington, DC",CMH,"Columbus, OH",1641,1709,1852,4,1800,1856,0,322
2000-01-09,1195,"Washington, DC",IND,"Indianapolis, IN",1230,1226,1410,6,1418,1416,0,499
2000-01-23,155,"Washington, DC",PIT,"Pittsburgh, PA",956,1001,1056,5,1058,1101,0,205
2000-01-11,2192,"Washington, DC",CLT,"Charlotte, NC",1830,1942,2053,4,1950,2057,0,331
2000-01-02,155,"Washington, DC",PIT,"Pittsburgh, PA",956,952,1040,7,1058,1047,0,205
2000-01-21,577,"Washington, DC",SDF,"Louisville, KY",805,800,950,5,952,955,0,474
