2000-01-05,1762,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1130,1128,1249,4,1250,1253,0,365
2000-01-16,964,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1525,1557,1706,5,1645,1711,0,365
2000-01-16,450,"Greensboro/High Point, NC",CLT,"Charlotte, NC",2045,2038,2110,5,2126,2115,0,83
2000-01-10,725,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1730,1755,2002,4,1850,2006,0,365
2000-01-07,1571,"Greensboro/High Point, NC",CLT,"Charlotte, NC",925,922,1011,6,1013,1017,0,83
2000-01-29,1762,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1130,1131,1240,5,1250,1245,0,365
2000-01-27,1762,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1130,1151,1307,4,1250,1311,0,365
2000-01-21,698,"Greensboro/High Point, NC",LGA,"New York, NY",1155,1329,1446,4,1323,1450,0,461
2000-01-17,1788,"Greensboro/High Point, NC",CLT,"Charlotte, NC",1212,1209,1250,4,1300,1254,0,83
2000-01-03,1749,"Greensboro/High Point, NC",DCA,"Washington, DC",620,615,707,5,720,712,0,248
2000-01-02,1136,"Greensboro/High Point, NC",PIT,"Pittsburgh, PA",1830,1832,1934,5,1946,1939,0,304
2000-01-24,990,"Greensboro/High Point, NC",LGA,"New York, NY",1802,1815,1927,7,1929,1934,0,461
2000-01-07,1136,"Greensboro/High Point, NC",PIT,"Pittsburgh, PA",1830,1826,1931,7,1946,1938,0,304
2000-01-10,1136,"Greensboro/High Point, NC",PIT,"Pittsburgh, PA",1830,1820,1932,4,1946,1936,0,304
2000-01-15,496,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",720,714,837,10,843,847,0,365
2000-01-28,725,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1730,1734,1856,12,1850,1908,0,365
2000-01-04,698,"Greensboro/High Point, NC",LGA,"New York, NY",1155,1200,1316,6,1323,1322,0,461
2000-01-03,599,"Greensboro/High Point, NC",LGA,"New York, NY",630,625,746,5,800,751,0,461
2000-01-14,450,"Greensboro/High Point, NC",CLT,"Charlotte, NC",2045,2135,2203,4,2126,2207,0,83
2000-01-07,725,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1730,1723,1835,8,1850,1843,0,365
2000-01-11,990,"Greensboro/High Point, NC",LGA,"New York, NY",1802,,,,1929,,1,461
2000-01-04,1762,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1130,1126,1233,8,1250,1241,0,365
2000-01-13,1762,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1130,1128,1234,10,1250,1244,0,365
2000-01-31,239,"Greensboro/High Point, NC",CLT,"Charlotte, NC",1340,,,,1421,,1,83
2000-01-14,725,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1730,1737,1900,11,1850,1911,0,365
2000-01-30,1617,"Greensboro/High Point, NC",PIT,"Pittsburgh, PA",705,,,,818,,1,304
2000-01-20,599,"Greensboro/High Point, NC",LGA,"New York, NY",630,624,810,6,800,816,0,461
2000-01-10,964,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1525,1619,1740,6,1645,1746,0,365
2000-01-09,990,"Greensboro/High Point, NC",LGA,"New York, NY",1802,1757,1914,8,1929,1922,0,461
2000-01-21,599,"Greensboro/High Point, NC",LGA,"New York, NY",630,630,756,7,800,803,0,461
2000-01-24,1762,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1130,1129,1238,6,1250,1244,0,365
2000-01-27,450,"Greensboro/High Point, NC",CLT,"Charlotte, NC",2045,2050,2126,6,2126,2132,0,83
2000-01-03,725,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1730,1726,1842,6,1850,1848,0,365
2000-01-19,1788,"Greensboro/High Point, NC",CLT,"Charlotte, NC",1212,1206,1300,6,1300,1306,0,83
2000-01-30,964,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1525,,,,1645,,1,365
2000-01-30,1530,"Greensboro/High Point, NC",CLT,"Charlotte, NC",925,,,,1013,,1,83
2000-01-19,990,"Greensboro/High Point, NC",LGA,"New York, NY",1802,1801,1921,11,1929,1932,0,461
2000-01-23,239,"Greensboro/High Point, NC",CLT,"Charlotte, NC",1340,,,,1421,,1,83
2000-01-09,239,"Greensboro/High Point, NC",CLT,"Charlotte, NC",1340,1335,1411,4,1421,1415,0,83
2000-01-07,450,"Greensboro/High Point, NC",CLT,"Charlotte, NC",2045,2043,2116,5,2126,2121,0,83
2000-01-20,1749,"Greensboro/High Point, NC",DCA,"Washington, DC",620,622,,,720,,0,248
2000-01-27,1617,"Greensboro/High Point, NC",PIT,"Pittsburgh, PA",705,719,826,7,821,833,0,304
2000-01-30,2385,"Greensboro/High Point, NC",DCA,"Washington, DC",830,,,,930,,1,248
2000-01-11,496,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",720,718,824,20,843,844,0,365
2000-01-12,1762,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1130,1127,1238,8,1250,1246,0,365
2000-01-31,1287,"Greensboro/High Point, NC",CLT,"Charlotte, NC",1900,1916,1949,4,1944,1953,0,83
2000-01-29,1160,"Greensboro/High Point, NC",CLT,"Charlotte, NC",1045,1054,1127,3,1126,1130,0,83
2000-01-08,964,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",1525,1523,1638,3,1645,1641,0,365
2000-01-23,990,"Greensboro/High Point, NC",LGA,"New York, NY",1802,1932,2041,9,1929,2050,0,461
2000-01-20,1788,"Greensboro/High Point, NC",CLT,"Charlotte, NC",1212,1217,1254,3,1300,1257,0,83
2000-01-19,1749,"Greensboro/High Point, NC",DCA,"Washington, DC",620,615,718,5,720,723,0,248
2000-01-31,496,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",720,,,,843,,1,365
2000-01-03,496,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",720,715,828,5,843,833,0,365
2000-01-24,1287,"Greensboro/High Point, NC",CLT,"Charlotte, NC",1900,1913,2027,20,1944,2047,0,83
2000-01-30,990,"Greensboro/High Point, NC",LGA,"New York, NY",1802,1805,1920,20,1929,1940,0,461
2000-01-28,698,"Greensboro/High Point, NC",LGA,"New York, NY",1155,1151,1314,5,1323,1319,0,461
2000-01-26,496,"Greensboro/High Point, NC",PHL,"Philadelphia, PA",720,,,,843,,1,365
2000-01-10,698,"Greensboro/High Point, NC",LGA,"New York, NY",1155,1205,1323,4,1323,1327,0,461
