2000-01-09,302,"Providence, RI",DCA,"Washington, DC",1200,1156,1317,6,1326,1323,0,357
2000-01-03,915,"Providence, RI",DCA,"Washington, DC",1810,1804,1921,3,1936,1924,0,357
2000-01-14,2618,"Providence, RI",BWI,"Baltimore, MD",1325,1325,1432,5,1442,1437,0,328
2000-01-24,1741,"Providence, RI",DCA,"Washington, DC",1431,1428,1555,4,1557,1559,0,357
2000-01-10,21,"Providence, RI",PHL,"Philadelphia, PA",735,813,921,9,844,930,0,238
2000-01-10,546,"Providence, RI",PIT,"Pittsburgh, PA",1510,1510,1644,5,1647,1649,0,467
2000-01-21,21,"Providence, RI",PHL,"Philadelphia, PA",735,735,849,6,844,855,0,238
2000-01-11,1448,"Providence, RI",CLT,"Charlotte, NC",745,741,955,4,954,959,0,683
2000-01-21,2633,"Providence, RI",BWI,"Baltimore, MD",630,,,,747,,1,328
2000-01-14,915,"Providence, RI",DCA,"Washington, DC",1810,1809,1928,3,1936,1931,0,357
2000-01-30,2358,"Providence, RI",CLT,"Charlotte, NC",1030,1049,1312,6,1239,1318,0,683
2000-01-26,2655,"Providence, RI",BWI,"Baltimore, MD",810,,,,927,,1,328
2000-01-31,342,"Providence, RI",PHL,"Philadelphia, PA",1133,,,,1244,,1,238
2000-01-24,2633,"Providence, RI",BWI,"Baltimore, MD",630,625,743,6,747,749,0,328
2000-01-06,2655,"Providence, RI",BWI,"Baltimore, MD",810,807,915,4,927,919,0,328
2000-01-24,2967,"Providence, RI",BWI,"Baltimore, MD",1515,1535,1701,5,1632,1706,0,328
2000-01-15,2358,"Providence, RI",CLT,"Charlotte, NC",1030,1027,1221,5,1239,1226,0,683
2000-01-17,364,"Providence, RI",PIT,"Pittsburgh, PA",650,650,818,6,827,824,0,467
2000-01-28,2618,"Providence, RI",BWI,"Baltimore, MD",1325,1323,1426,5,1442,1431,0,328
2000-01-02,2358,"Providence, RI",CLT,"Charlotte, NC",1030,1025,1229,6,1239,1235,0,683
2000-01-25,1448,"Providence, RI",CLT,"Charlotte, NC",745,746,959,5,954,1004,0,683
2000-01-20,221,"Providence, RI",PHL,"Philadelphia, PA",1520,,,,1635,,1,238
2000-01-04,915,"Providence, RI",DCA,"Washington, DC",1810,1845,2020,2,1936,2022,0,357
2000-01-11,2645,"Providence, RI",BWI,"Baltimore, MD",1800,1755,1906,3,1917,1909,0,328
2000-01-21,2998,"Providence, RI",BWI,"Baltimore, MD",1950,2010,2122,5,2107,2127,0,328
2000-01-06,1603,"Providence, RI",DCA,"Washington, DC",645,647,809,3,810,812,0,357
2000-01-26,500,"Providence, RI",PHL,"Philadelphia, PA",1715,,,,1826,,1,238
2000-01-14,2667,"Providence, RI",BWI,"Baltimore, MD",1010,1008,1117,4,1127,1121,0,328
2000-01-20,1448,"Providence, RI",CLT,"Charlotte, NC",745,739,938,4,954,942,0,683
2000-01-06,1787,"Providence, RI",PHL,"Philadelphia, PA",600,556,701,6,711,707,0,238
2000-01-04,1603,"Providence, RI",DCA,"Washington, DC",645,642,802,5,810,807,0,357
2000-01-07,1448,"Providence, RI",CLT,"Charlotte, NC",745,750,1013,5,954,1018,0,683
2000-01-19,1787,"Providence, RI",PHL,"Philadelphia, PA",600,558,659,3,711,702,0,238
2000-01-24,1787,"Providence, RI",PHL,"Philadelphia, PA",600,555,707,5,711,712,0,238
