2000-01-27,529,"Roanoke, VA",CLT,"Charlotte, NC",1723,1730,1809,3,1810,1812,0,155
2000-01-21,371,"Roanoke, VA",PIT,"Pittsburgh, PA",720,715,818,6,819,824,0,219
2000-01-06,1644,"Roanoke, VA",PIT,"Pittsburgh, PA",1215,1210,1304,9,1314,1313,0,219
2000-01-19,1644,"Roanoke, VA",PIT,"Pittsburgh, PA",1215,1207,1253,7,1314,1300,0,219
2000-01-05,529,"Roanoke, VA",CLT,"Charlotte, NC",1723,1718,1811,4,1810,1815,0,155
2000-01-10,1644,"Roanoke, VA",PIT,"Pittsburgh, PA",1215,1214,1307,7,1314,1314,0,219
2000-01-22,1644,"Roanoke, VA",PIT,"Pittsburgh, PA",1215,,,,1314,,1,219
2000-01-06,529,"Roanoke, VA",CLT,"Charlotte, NC",1723,1720,1810,4,1810,1814,0,155
2000-01-06,371,"Roanoke, VA",PIT,"Pittsburgh, PA",720,718,806,5,819,811,0,219
2000-01-25,371,"Roanoke, VA",PIT,"Pittsburgh, PA",720,720,808,7,819,815,0,219
2000-01-16,529,"Roanoke, VA",CLT,"Charlotte, NC",1723,1720,1758,3,1810,1801,0,155
2000-01-09,529,"Roanoke, VA",CLT,"Charlotte, NC",1723,1721,1806,4,1810,1810,0,155
2000-01-22,223,"Roanoke, VA",CLT,"Charlotte, NC",635,626,713,3,722,716,0,155
2000-01-02,529,"Roanoke, VA",CLT,"Charlotte, NC",1723,1723,1803,7,1810,1810,0,155
2000-01-12,371,"Roanoke, VA",PIT,"Pittsburgh, PA",720,717,809,6,819,815,0,219
2000-01-11,2223,"Roanoke, VA",PIT,"Pittsburgh, PA",1855,1852,1948,6,1954,1954,0,219
2000-01-31,1007,"Roanoke, VA",CLT,"Charlotte, NC",1040,,,,1127,,1,155
2000-01-19,371,"Roanoke, VA",PIT,"Pittsburgh, PA",720,719,817,18,819,835,0,219
2000-01-24,1644,"Roanoke, VA",PIT,"Pittsburgh, PA",1215,1213,1304,7,1314,1311,0,219
2000-01-20,223,"Roanoke, VA",CLT,"Charlotte, NC",635,628,730,5,722,735,0,155
2000-01-25,529,"Roanoke, VA",CLT,"Charlotte, NC",1723,1727,1804,13,1810,1817,0,155
2000-01-24,223,"Roanoke, VA",CLT,"Charlotte, NC",635,640,728,6,722,734,0,155
2000-01-04,2223,"Roanoke, VA",PIT,"Pittsburgh, PA",1855,1852,1945,6,1954,1951,0,219
2000-01-25,223,"Roanoke, VA",CLT,"Charlotte, NC",635,633,711,4,722,715,0,155
2000-01-08,371,"Roanoke, VA",PIT,"Pittsburgh, PA",720,718,813,5,819,818,0,219
2000-01-30,529,"Roanoke, VA",CLT,"Charlotte, NC",1723,,,,1810,,1,155
2000-01-14,2223,"Roanoke, VA",PIT,"Pittsburgh, PA",1855,1930,2015,6,1954,2021,0,219
2000-01-16,2223,"Roanoke, VA",PIT,"Pittsburgh, PA",1855,1851,1947,8,1954,1955,0,219
2000-01-10,371,"Roanoke, VA",PIT,"Pittsburgh, PA",720,,,,819,,1,219
2000-01-19,2109,"Roanoke, VA",CLT,"Charlotte, NC",1505,1501,1538,5,1552,1543,0,155
2000-01-16,1007,"Roanoke, VA",CLT,"Charlotte, NC",1040,1036,1115,4,1127,1119,0,155
2000-01-26,2223,"Roanoke, VA",PIT,"Pittsburgh, PA",1855,1855,1956,8,1954,2004,0,219
2000-01-04,529,"Roanoke, VA",CLT,"Charlotte, NC",1723,1720,1805,4,1810,1809,0,155
