2000-01-02,1072,"Raleigh/Durham, NC",BWI,"Baltimore, MD",1435,1455,1544,3,1530,1547,0,255
2000-01-23,179,"Raleigh/Durham, NC",BNA,"Nashville, TN",1745,1745,1818,4,1815,1822,0,443
2000-01-08,1920,"Raleigh/Durham, NC",TPA,"Tampa, FL",1910,1942,2131,5,2100,2136,0,587
2000-01-01,1177,"Raleigh/Durham, NC",BNA,"Nashville, TN",1520,1520,1535,3,1550,1538,0,443
2000-01-24,1450,"Raleigh/Durham, NC",BNA,"Nashville, TN",1955,1955,2007,3,2025,2010,0,443
2000-01-27,790,"Raleigh/Durham, NC",BNA,"Nashville, TN",715,,,,745,,1,443
2000-01-13,179,"Raleigh/Durham, NC",BNA,"Nashville, TN",1745,1820,1847,4,1805,1851,0,443
2000-01-22,1388,"Raleigh/Durham, NC",BWI,"Baltimore, MD",1715,1719,1805,7,1815,1812,0,255
2000-01-08,179,"Raleigh/Durham, NC",BNA,"Nashville, TN",1745,1745,1803,4,1805,1807,0,443
2000-01-20,814,"Raleigh/Durham, NC",TPA,"Tampa, FL",1230,1230,1403,4,1415,1407,0,587
2000-01-04,1072,"Raleigh/Durham, NC",BWI,"Baltimore, MD",1435,1443,1533,7,1530,1540,0,255
2000-01-04,730,"Raleigh/Durham, NC",BWI,"Baltimore, MD",655,655,757,2,750,759,0,255
2000-01-09,813,"Raleigh/Durham, NC",MDW,"Chicago, IL",1630,1630,1723,3,1735,1726,0,632
2000-01-12,1920,"Raleigh/Durham, NC",TPA,"Tampa, FL",1910,1910,2050,4,2100,2054,0,587
2000-01-01,633,"Raleigh/Durham, NC",MCO,"Orlando, FL",1305,1305,1425,4,1450,1429,0,534
2000-01-26,1072,"Raleigh/Durham, NC",BWI,"Baltimore, MD",1435,,,,1535,,1,255
2000-01-11,1388,"Raleigh/Durham, NC",BWI,"Baltimore, MD",1715,1715,1814,2,1810,1816,0,255
2000-01-06,814,"Raleigh/Durham, NC",TPA,"Tampa, FL",1215,1215,1357,5,1405,1402,0,587
2000-01-26,179,"Raleigh/Durham, NC",BNA,"Nashville, TN",1745,,,,1815,,1,443
2000-01-04,1920,"Raleigh/Durham, NC",TPA,"Tampa, FL",1910,1910,2051,2,2100,2053,0,587
2000-01-20,790,"Raleigh/Durham, NC",BNA,"Nashville, TN",715,715,743,4,745,747,0,443
2000-01-26,943,"Raleigh/Durham, NC",MDW,"Chicago, IL",740,,,,845,,1,632
2000-01-29,813,"Raleigh/Durham, NC",MDW,"Chicago, IL",1640,1727,1807,3,1745,1810,0,632
2000-01-05,814,"Raleigh/Durham, NC",TPA,"Tampa, FL",1215,1215,1352,3,1405,1355,0,587
2000-01-05,1450,"Raleigh/Durham, NC",BNA,"Nashville, TN",1955,1955,2010,2,2015,2012,0,443
2000-01-30,1072,"Raleigh/Durham, NC",BWI,"Baltimore, MD",1435,,,,1535,,1,255
2000-01-21,1177,"Raleigh/Durham, NC",BNA,"Nashville, TN",1525,1525,1546,4,1555,1550,0,443
2000-01-10,633,"Raleigh/Durham, NC",MCO,"Orlando, FL",1305,1348,1526,7,1450,1533,0,534
2000-01-11,1101,"Raleigh/Durham, NC",MDW,"Chicago, IL",1045,1045,1143,7,1150,1150,0,632
2000-01-06,943,"Raleigh/Durham, NC",MDW,"Chicago, IL",735,735,832,3,840,835,0,632
2000-01-03,943,"Raleigh/Durham, NC",MDW,"Chicago, IL",735,735,826,3,840,829,0,632
2000-01-06,1920,"Raleigh/Durham, NC",TPA,"Tampa, FL",1910,1910,2050,5,2100,2055,0,587
2000-01-09,633,"Raleigh/Durham, NC",MCO,"Orlando, FL",1305,1305,1432,3,1450,1435,0,534
2000-01-30,1450,"Raleigh/Durham, NC",BNA,"Nashville, TN",1955,2211,2245,5,2025,2250,0,443
2000-01-01,179,"Raleigh/Durham, NC",BNA,"Nashville, TN",1745,1835,1850,5,1805,1855,0,443
2000-01-05,1072,"Raleigh/Durham, NC",BWI,"Baltimore, MD",1435,1440,1524,3,1530,1527,0,255
2000-01-17,1388,"Raleigh/Durham, NC",BWI,"Baltimore, MD",1715,1723,1818,3,1815,1821,0,255
2000-01-25,1388,"Raleigh/Durham, NC",BWI,"Baltimore, MD",1715,,,,1815,,1,255
2000-01-19,633,"Raleigh/Durham, NC",MCO,"Orlando, FL",1305,1305,1427,3,1450,1430,0,534
2000-01-13,1648,"Raleigh/Durham, NC",BWI,"Baltimore, MD",1020,1020,1108,2,1115,1110,0,255
2000-01-01,660,"Raleigh/Durham, NC",BNA,"Nashville, TN",1055,1205,1219,2,1115,1221,0,443
2000-01-13,814,"Raleigh/Durham, NC",TPA,"Tampa, FL",1215,1215,1346,3,1405,1349,0,587
2000-01-05,1101,"Raleigh/Durham, NC",MDW,"Chicago, IL",1045,1045,1128,4,1150,1132,0,632
